LineNumber,JT,HD,GC,SS,YO,YY,SD
1,0.80,0.68,0.65,0.43,0.82,0.67,0.576826196
2,0.28,0.26,0.33,0.14,0.60,0.37,0.275862069
3,0.77,0.46,0.72,0.83,0.61,0.56,0.536688742
4,0.83,0.73,0.63,0.67,0.59,0.51,0.820457018
5,0.64,0.73,0.77,0.77,0.84,0.90,0.734711456
6,0.77,0.84,0.69,0.69,0.77,0.86,0.80798005
7,0.87,0.56,0.79,0.80,0.91,0.84,0.817523534
8,0.31,0.54,0.37,0.43,0.13,0.45,0.389353612
9,0.46,0.50,0.39,0.50,0.47,0.50,0.488188976
10,0.47,0.27,0.50,0.61,0.65,0.58,0.506480558
11,0.40,0.62,0.41,0.35,0.51,0.58,0.37037037
12,0.57,0.39,0.51,0.50,0.62,0.60,0.613236815
13,0.78,0.74,0.85,0.82,0.84,0.89,0.817391304
14,0.73,0.30,0.64,0.73,0.55,0.78,0.479876161
15,-0.15,-0.06,-0.25,-0.32,0.10,-0.35,-0.315789474
16,0.34,0.30,0.01,-0.04,0.54,0.35,-0.161345496
17,0.52,0.68,0.15,0.37,0.71,0.48,0.504761905
18,0.00,0.28,0.36,0.30,0.61,0.59,0.396491228
19,0.15,0.21,0.02,0.14,-0.12,0.24,0.04909285
20,0.03,0.30,0.53,0.10,0.20,0.05,0.275862069
21,0.63,0.22,0.10,0.15,0.17,0.67,0.109660574
22,0.59,0.31,0.46,0.20,0.30,0.42,0.487447699
23,0.67,0.43,0.45,0.37,0.59,0.35,0.380952381
24,0.30,0.41,0.08,0.48,0.21,0.75,0.441176471
25,0.67,0.49,0.64,0.73,0.52,0.64,0.650366748
26,0.15,0.22,0.44,0.60,0.28,0.47,0.333333333
27,-0.21,0.13,-0.15,-0.29,0.03,0.00,-0.125
28,0.15,0.01,0.21,0.42,0.44,0.36,0.5248
29,0.23,0.28,0.45,0.07,0.75,0.48,0.476190476
30,0.23,0.14,0.08,0.02,0.11,0.04,0.119126406
31,0.24,0.02,0.18,0.61,-0.05,0.37,0.386885246
32,0.50,0.64,0.58,0.62,0.47,0.55,0.695522388
33,0.40,0.06,0.31,0.43,0.27,0.28,0.250645995
34,0.18,0.28,0.20,0.03,0.02,0.11,0.085959885
35,0.53,0.03,0.36,0.32,0.29,0.34,0.248142645
36,0.49,0.13,0.22,0.58,0.03,0.06,0.242085661
37,0.13,0.49,0.12,0.15,0.03,0.30,0.075739645
