"","LineNumber","JT","HD","GC","SS","YO","YY","SD"
"rates",1,0.800475059382422,0.681758652946679,0.646335912608102,0.391329313809934,0.820796460176991,0.670825335892514,0.545081967213115
"rates",2,0.275312855517634,0.264705882352941,0.328358208955224,0.135910224438903,0.604026845637584,0.366412213740458,0.275862068965518
"rates",3,0.769996681048789,0.462682866352591,0.722386102917077,0.832921229247616,0.614035087719298,0.564150943396226,0.536688741721854
"rates",4,0.825396825396826,0.729824561403509,0.631578947368421,0.652229299363057,0.592592592592593,0.514705882352941,0.820457018498368
"rates",5,0.643391521197008,0.72972972972973,0.76832350463353,0.771454381210479,0.844914400805639,0.899543378995434,0.734711455641688
"rates",6,0.772782503037667,0.843870967741935,0.691086691086691,0.685938615274804,0.772228989037759,0.857532379004772,0.807980049875312
"rates",7,0.868022181146026,0.562879444926279,0.787110789283128,0.799149840595112,0.914349276974416,0.835470085470085,0.817523533671253
"rates",8,0.310495626822157,0.53639846743295,0.366492146596859,0.4328125,0.133533383345836,0.448467966573816,0.3893536121673
"rates",9,0.455284552845528,0.5,0.387096774193548,0.503937007874016,0.465116279069767,0.5,0.488188976377953
"rates",10,0.474484256243214,0.323262839879154,0.501618122977347,0.605686032138443,0.647362978283351,0.580645161290323,0.506480558325025
"rates",11,0.4,0.624040920716113,0.410714285714287,0.351776354105999,0.513513513513514,0.582278481012658,0.370370370370371
"rates",12,0.574193548387097,0.390018484288355,0.506410256410257,0.499655410062026,0.619596541786744,0.603501544799176,0.613236814891417
"rates",13,0.784313725490196,0.742647058823529,0.851063829787234,0.81967213114754,0.838283828382838,0.886836027713626,0.817391304347826
"rates",14,0.732824427480916,0.299789726644638,0.638132295719844,0.734588599432551,0.54904831625183,0.776951672862453,0.479876160990713
"rates",15,-0.145251396648045,-0.0621761658031087,-0.24561403508772,-0.315789473684211,0.0999999999999997,-0.34920634920635,-0.315789473684212
"rates",16,0.339082139725227,0.296884071995355,0.0127283925272023,-0.0414312617702446,0.543392689784443,0.351485148514852,-0.161345496009121
"rates",17,0.518459069020867,0.681620839363242,0.152215799614643,0.369918699186991,0.707495429616088,0.483870967741936,0.504761904761904
"rates",18,-0.00420266168573432,0.283720930232558,0.360902255639098,0.297282151863267,0.607280364018201,0.590546528803545,0.396491228070175
"rates",19,0.145142857142857,0.20973348783314,0.0196592398427258,0.139402560455192,-0.119760479041916,0.235048678720445,0.0490928495197442
"rates",20,0.0287081339712928,0.304964539007092,0.533333333333334,0.0960960960960961,0.203592814371258,0.0540540540540547,0.275862068965518
"rates",21,0.625531914893617,0.216216216216216,0.10204081632653,0.150110375275937,0.166064981949459,0.67109634551495,0.109660574412532
"rates",22,0.59375,0.308518253400143,0.455252918287938,0.203162055335968,0.297994269340974,0.421259842519685,0.48744769874477
"rates",23,0.666666666666667,0.433962264150943,0.447761194029851,0.37037037037037,0.586138613861386,0.345679012345679,0.380952380952381
"rates",24,0.296296296296296,0.405797101449276,0.082191780821918,0.482758620689655,0.206896551724138,0.754716981132075,0.441176470588236
"rates",25,0.666666666666667,0.4945295404814,0.637362637362637,0.729064039408867,0.524691358024691,0.643391521197008,0.650366748166259
"rates",26,0.15,0.217391304347826,0.444444444444444,0.595744680851063,0.28,0.474576271186441,0.333333333333333
"rates",27,-0.207792207792208,0.127272727272728,-0.145454545454545,-0.293103448275862,0.0338983050847463,0,-0.125
"rates",28,0.150943396226415,0.0117820324005893,0.207705192629816,0.419254658385093,0.441330998248686,0.355648535564854,0.5248
"rates",29,0.234432234432234,0.278688524590164,0.453416149068323,0.0747663551401867,0.752808988764045,0.479495268138802,0.476190476190476
"rates",30,0.234854151084518,0.141980718667835,0.0779727095516568,0.0168067226890755,0.111458985597996,0.0359550561797752,0.119126406353408
"rates",31,0.236111111111111,0.0167597765363129,0.183745583038869,0.607142857142857,-0.0459016393442623,0.371428571428572,0.386885245901639
"rates",32,0.497667185069984,0.643979057591623,0.583106267029973,0.618229854689564,0.46875,0.551155115511551,0.695522388059702
"rates",33,0.403292181069959,0.0625000000000001,0.314516129032258,0.43029490616622,0.273255813953488,0.277343749999999,0.250645994832041
"rates",34,0.184092940125112,0.280814576634512,0.203947368421053,0.0345744680851065,0.0246305418719215,0.110397946084724,0.0859598853868194
"rates",35,0.533718689788054,0.034532374100719,0.356489945155393,0.320987654320988,0.428571428571429,0.338345864661654,0.2481426448737
"rates",36,0.490066225165564,0.133561643835617,0.221698113207548,0.582278481012659,0.576923076923077,0.0593368237347299,0.242085661080075
"rates",37,0.131191432396252,0.491103202846975,0.11717495987159,0.145800316957211,0.217928902627512,0.299565846599132,0.0757396449704145
