"","soc_id","EA_code","line_7","line_10","line_21","line_23","line_37","Society_latitude","Society_longitude","GlottoID","FamilyLevGlottocode","Region","Division","X.x","subsistence","X.y","class","caste","slavery","class_scaled","caste_scaled","slavery_scaled","SocialLayering_additive","EA031","EA033","xd_id","pref_name_for_society","glottocode","ORIG_name_and_ID_in_this_dataset","alt_names_by_society","main_focal_year","HRAF_name_ID","HRAF_link","origLat","origLong","Lat","Long","Comment","glottocode_comment","std_subsistence","std_caste","std_slavery","std_class","std_EA033","std_EA031","musical_pc1","social_pc1"
"1",10000,"NOT CHECKED BY KK",0,0.5,1,0,0.25,-9.21,161.16,"area1240","aust1307","Oceania","Melanesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",10033,"Ie15",0,0.5,0.75,0,0,-3.63,143.05,"ambu1247","nduu1242","Oceania","Melanesia",491,3,764,0,0,0,0,0,0,0,NA,1,"xd791","Abelam","ambu1247","Abelam (Ie15)","",1930,"","",4,-145,-3.79,143.09,"Revised","",0.375,0,0,0,0.2,NA,NA,NA
"3",10055,"Ci12",0.5,0.5,0.5,0,0.75,44.32,39.98,"abkh1244","abkh1242","Western Asia","Caucasus",336,5,560,4,0,1,1,0,0.5,1.5,4,2,"xd577","Abkhaz","abkh1244","Abkhaz (Ci12)","",1880,"Abkhaz (RI03)","http://ehrafworldcultures.yale.edu/collection?owc=RI03",43,41,43,41,"Original","",0.625,0,0.5,1,0.4,0.5,0.284089552020124,0.386353826734805
"4",10077,"Ee1",0.5,0.25,0.75,0.75,0.5,28.25,95.45,"bori1243","sino1245","South Asia","India/ Nepal/ Tibet",NA,NA,626,1,0,2,0.25,0,1,1.25,3,1,"xd653","Adi","bori1243","Abor (Ee1)","Abor",1940,"","",28,95,28,95,"Original","",NA,0,1,0.25,0.2,0.375,NA,NA
"5",10099,"Aj10",1,0.75,0.75,0,0.25,3.06,32.54,"acol1236","nilo1247","Africa","East Africa",NA,NA,385,0,0,0,0,0,0,0,NA,2,"xd385","Acholi","dhop1238","Acholi (Aj10)","Acooli",1920,"","",3,32,3,32,"Original","",NA,0,0,0,0.4,NA,NA,NA
"6",10140,"Ie26",0.5,0.75,0.25,0,0,-6.39,146.29,"adze1240","aust1307","Oceania","Melanesia",500,3,776,0,0,0,0,0,0,0,3,1,"xd803","Ngarawapum","adze1240","Ngarawapum (Ie26)","",1940,"","",-6,146,-6,146,"Original","",0.375,0,0,0,0.2,0.375,-0.581188823354334,-0.82145161855985
"7",10143,"Ca6",0.5,0.5,0.75,0.25,0.25,12.23,41.81,"afar1241","afro1255","Africa","East Africa",255,5,454,1,0,2,0.25,0,1,1.25,3,3,"xd454","Afar","afar1241","Afar (Ca6)","Danakil, Dankali",1880,"","",12,42,12,42,"Original","",0.625,0,1,0.25,0.6,0.375,-0.583782297121272,0.0288748861327859
"8",10176,"NONE",0.75,0,0.5,0.5,0.75,34.02,71.15,"nort2646","indo1319","South Asia","Afghanistan/ Pakistan/ India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",10231,"Ih5",1,0.75,0.75,0,0,-21.31,165.47,"ajie1238","aust1307","Oceania","Melanesia",NA,NA,844,0,0,0,0,0,0,0,NA,2,"xd871","Ajie","ajie1238","Ajie (Ih5)","",1860,"","",-22,165,-21.37,165.47,"Revised","",NA,0,0,0,0.4,NA,NA,NA
"10",10264,"Sg5",0,0.75,0,0,0.5,-54.79,-70.14,"qawa1238","kawe1237","South America","S South America",844,2,1234,0,0,0,0,0,0,0,1,1,"xd1387","Alacaluf","qawa1238","Alacaluf (Sg5)","Kawésqar",1900,"","",-52,-74,-52,-74,"Original","",0.25,0,0,0,0.2,0.125,0.341584940870111,-1.13065324170372
"11",10286,"B369",0,0.75,0.75,0.25,0.25,65.25,-164.45,"kusk1241","eski1264","North America","United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",10297,"Ce1",0,0.5,0.5,0.5,0.5,42.08,19.7,"gheg1238","indo1319","Europe","Southeast Europe/ Balkans",309,7,528,0,NA,0,0,NA,0,NA,4,3,"xd528","Gheg","gheg1238","Gheg (Ce1)","Albanians",1900,"Albanians (EG01)","http://ehrafworldcultures.yale.edu/collection?owc=EG01",42,20,42,20,"Original","",0.875,NA,0,0,0.6,0.5,NA,NA
"13",10396,"Aj17",1,0,0.5,0,0.5,2.36,31.01,"alur1250","nilo1247","Africa","Central Africa",208,4,392,2,0,2,0.5,0,1,1.5,NA,2,"xd392","Alur","alur1250","Alur (Aj17)","Aloro, Lur",1890,"","",2,31,2,31,"Original","",0.5,0,1,0.5,0.4,NA,NA,NA
