,song_id,Preferred_name,society_id,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37,orv_1,orv_2,ensemble_value_id,ensemble_value_label,instrument_value_id,instrument_value_label
0,9184,'Are'are,10000,2,0,64,0,0,0,8192,1024,1024,0,0,0,64,8,0,0,0,0,0,0,0,0,0,512,0,0,8192,0,0,0,0,0,0,0,0,0,0,0,5,1,All singers play instruments,2,1 kind of instrument
1,30121,'Are'are,10000,32,2,2,8192,1024,1024,2,2,2,128,64,8,2,2,512,64,128,512,2,1024,8192,256,8192,32,2,8192,8192,32,128,128,8192,128,256,1024,8192,8192,1024,2,1,null,,null,
2,4241,'Are'are,10000,64,2,2,8192,1024,1024,2,2,2,16,2048,8192,2,2,512,64,1024,512,512,1024,1024,1024,8192,512,2,512,8192,512,128,16,8192,1024,1024,16,128,1024,128,2,0,null,,null,
3,4246,'Are'are,10000,64,4096,8192,128,8192,8192,8192,8192,8192,8192,512,8,512,8192,512,4096,128,8192,16,128,8192,2,8192,32,16,512,512,8192,2,8192,128,1024,8192,16,1024,1024,8192,2,3,1,All singers play instruments,1,No instruments
4,30124,'Are'are,10000,8192,32,64,8192,128,1024,128,8192,8192,128,64,8192,64,128,32,32,128,512,2,8192,8192,8200,1024,2080,1040,512,8192,32,128,128,128,1026,8192,128,8192,8192,8192,0,1,null,,null,
5,30125,'Are'are,10000,8192,32,64,8192,128,1024,128,8192,8192,128,64,8192,64,128,32,32,1024,8,2,1024,8192,8200,1024,2080,1040,512,8192,32,128,128,8192,1040,256,128,8192,8192,8192,0,1,null,,null,
6,30075,'Are'are,10000,8208,2,2,8192,8192,1024,2,2,2,1024,64,8192,2,2,512,8192,1024,2048,512,128,8192,8192,8192,512,2,8192,8192,512,2,1024,8192,144,1024,8192,8192,8192,8192,2,0,null,,null,
7,30120,'Are'are,10000,8208,2,2,8192,1024,1024,2,2,2,128,64,8192,2,2,512,2048,128,8192,2,128,1024,8192,8192,512,2,8192,8192,32,2,128,8192,128,256,1024,8192,8192,1024,2,7,null,,null,
8,30122,'Are'are,10000,8208,2,2,8192,1024,128,2,2,2,16,2048,8192,2,2,32,32,128,8,2,1024,8192,8192,8192,32,16,32,8192,32,2,16,8192,1040,256,1024,8192,8192,1024,2,1,null,,null,
9,30123,'Are'are,10000,8208,2,2,8192,1024,128,2,2,2,16,2048,8192,2,2,32,32,128,512,16,1024,8192,8192,8192,32,16,32,8192,32,2,16,8192,1040,256,1024,8192,8192,1024,2,1,null,,null,
10,30127,'Are'are,10000,8208,8,64,8192,128,1024,128,8192,128,128,64,8320,8,8,512,32,1024,512,2,128,1024,8192,8192,512,16,512,8192,32,128,128,8192,128,256,128,1024,1024,1024,2,1,null,,null,
11,30126,'Are'are,10000,8336,512,64,8192,128,16,128,8192,1024,128,2048,8192,64,8,512,2048,128,8192,2,1024,8192,8192,1024,512,1024,32,8192,32,2,128,128,1040,256,128,1024,1024,1024,2,1,null,,null,
12,30128,'Are'are,10000,8336,512,64,8192,128,16,128,8192,8192,128,2048,8192,64,8,512,2048,1024,8192,2,128,128,8200,1024,512,128,32,8192,32,128,128,8192,128,256,128,1024,1024,1024,2,1,null,,null,
13,175,A:shiwi (Zuni),29371,4,2,2,16,2,2,2,2,2,128,2048,2,2,2,8192,2,8192,2,2,128,8192,2,8192,32,16,32,8192,32,128,128,8192,1024,256,128,1024,1024,16,1,0,null,,null,
14,2247,A:shiwi (Zuni),29371,32,4,64,128,1024,8192,128,128,8192,1024,2048,8,8,8,32,8,1024,2,16,1024,1024,2,1024,512,128,8192,8192,512,8192,1024,8192,8192,256,128,128,16,128,4,2,1,All singers play instruments,2,1 kind of instrument
15,176,A:shiwi (Zuni),29371,64,4,64,128,1024,8192,128,1024,8192,1024,2048,8,8,8,32,4,16,2,512,128,1024,2,1024,512,128,8192,8192,512,8192,1024,8192,1024,256,16,16,16,1024,4,2,1,All singers play instruments,2,1 kind of instrument
16,177,A:shiwi (Zuni),29371,64,8,64,128,128,8192,128,8192,8192,1024,2048,8,8,8,32,2,2,2,2,128,1024,2,1024,512,1024,8192,8192,32,8192,1024,2,1024,256,128,16,16,1024,7,0,null,,null,
17,2246,A:shiwi (Zuni),29371,64,2,2,128,1024,8192,2,2,2,128,2048,8,2,2,512,8,16,2,2,1024,1024,2,1024,512,16,8192,8192,512,8192,128,8192,1024,256,16,1024,1024,128,6,0,null,,null,
18,2248,A:shiwi (Zuni),29371,64,4,64,128,1024,8192,128,128,8192,1024,2048,8,8,8,512,8,144,2,16,1024,1024,2,1024,512,128,8192,8192,512,8192,1024,8192,1024,256,128,128,128,128,4,2,1,All singers play instruments,2,1 kind of instrument
19,2249,A:shiwi (Zuni),29371,64,4,64,128,8192,8192,128,1024,8192,1024,2048,8,8,8,32,2,16,2,16,1024,1024,2,1024,512,16,8192,8192,512,128,1024,8192,128,64,128,128,128,128,4,2,1,All singers play instruments,2,1 kind of instrument
20,2250,A:shiwi (Zuni),29371,64,4,4,128,1024,8192,16,2,2,16,2048,8,2048,2,512,8,144,2,2,128,1024,2,1024,512,16,8192,8192,8192,8192,16,8192,1024,64,16,128,1024,128,4,1,null,,1,No instruments
21,2251,A:shiwi (Zuni),29371,64,4,4,128,128,8192,16,2,2,1024,2048,8,512,8,512,2,128,256,2048,1024,1024,2,128,512,16,512,512,32,8192,1024,8192,128,64,128,128,128,128,5,1,null,,1,No instruments
22,2252,A:shiwi (Zuni),29371,64,2,2,128,128,1024,2,2,2,16,2048,8,2,2,512,2,1024,2,512,1024,1024,2,8192,512,16,8192,8192,512,128,16,8192,16,64,1024,128,1024,1024,5,0,null,,null,
23,9747,A·chik Mande,15709,4,8,4096,16,2,2,8192,16,1024,16,10240,2,64,2048,8704,128,1024,2048,2,128,16,2,128,2048,16,512,512,32,2,16,128,128,8,128,16,128,16,1,4,4,Some singers play instruments,4,3 kinds of instruments
24,9749,A·chik Mande,15709,4,2,2,16,2,2,2,2,2,16,8192,2,2,2,512,1024,1024,2048,512,128,1024,2,1024,512,16,2,2,32,128,16,8192,1024,64,16,2,128,16,1,0,null,,null,
25,9751,A·chik Mande,15709,4,4096,4,16,2,2,8192,2,2,128,2048,2,2048,2,512,64,1024,32,512,1024,128,2,8192,512,128,512,512,512,128,128,8192,128,8,16,16,128,16,1,1,null,,1,No instruments
26,9752,A·chik Mande,15709,4,4096,4,16,2,2,8192,2,2,16,2048,2,2048,2,512,32,1024,32,2,128,128,2,8192,512,128,8192,8192,8192,128,16,8192,128,8,16,16,128,16,1,1,null,,1,No instruments
27,9748,A·chik Mande,15709,16,8,4096,16,2,2,8192,128,1024,16,10240,0,64,2048,2,128,128,2048,2,128,16,2,16,2048,128,512,512,8192,128,16,128,128,64,16,1024,128,16,3,4,3,Ensemble 3,4,3 kinds of instruments
28,9750,A·chik Mande,15709,64,8192,4096,128,1024,1024,8192,128,1024,128,64,8,64,512,512,64,1024,8,2048,1024,128,2,2,512,16,512,512,512,8192,128,8192,1024,64,1024,1024,1024,16,2,3,4,Some singers play instruments,3,2 kinds of instruments
29,30071,Aari,30016,8192,4096,4096,8192,8192,8192,8192,8192,8192,8192,512,8192,512,8192,8192,8192,8192,8192,2,128,1024,8192,8192,2048,128,512,512,8192,8192,8192,8192,128,1024,8192,8192,8192,8192,0,1,null,,null,
30,30072,Aari,30016,8192,4096,4096,8192,8192,8192,8192,8192,8192,8192,512,8192,512,8192,8192,8192,8192,8192,2,8192,1024,8192,8192,8192,1024,8192,8192,8192,8192,8192,8192,128,1024,8192,8192,8192,8192,0,1,null,,null,
