"","soc_id.ea","xd_id","soc_id.canto","pref_name_for_society","Glottocode","stratification","gender_complementarity","line_23","line_4","line_22","Society_latitude","Society_longitude","line23_col","stratification_col","line4_col","line22_col","gender_col"
"1",NA,NA,10000,NA,"area1240",NA,NA,8192,8192,8192,-9.21,161.16,"#C52B2F",NA,"#C52B2F",NA,NA
"3","Ie15","xd791",10033,"Abelam","ambu1247",1,3,8192,128,2,-4.33,143.25,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#F6C3C3"
"4","Ci12","xd577",10055,"Abkhaz","abkh1244",5,1,8192,8192,1024,44.32,39.98,"#C52B2F","#C52B2F","#C52B2F","#5E9AC4","#5E9AC4"
"5","Ee1","xd653",10077,"Adi","bori1243",2,2,16,8192,2,27.63,94.35,"#F6C3C3","#88C1CA","#C52B2F","#88C1CA","#88C1CA"
"8","Ie26","xd803",10140,"Ngarawapum","adze1240",1,2,8192,128,2,-6.39,146.29,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#88C1CA"
"9","Ca6","xd454",10143,"Afar","afar1241",2,3,1024,128,2,12.23,41.81,"#5E9AC4","#88C1CA","#88C1CA","#88C1CA","#F6C3C3"
"13","Ih5","xd871",10231,"Ajie","ajie1238",1,5,8192,8192,2,-21.31,165.47,"#C52B2F","#5E9AC4","#C52B2F","#88C1CA","#C52B2F"
"15","Sg5","xd1387",10264,"Alacaluf","qawa1238",1,3,1024,16,2,-54.79,-70.14,"#5E9AC4","#5E9AC4","#F6C3C3","#88C1CA","#F6C3C3"
"17","Ce1","xd528",10297,"Gheg","gheg1238",1,4,128,16,2,42.32,21.38,"#88C1CA","#5E9AC4","#F6C3C3","#88C1CA","#F1635B"
"19","Aj17","xd392",10396,"Alur","alur1250",4,3,8192,16,2,2.36,31.01,"#C52B2F","#F1635B","#F6C3C3","#88C1CA","#F6C3C3"
"20","Se8","xd1372",10407,"Amahuaca","amah1246",1,3,8192,8192,8192,-10.21,-72.32,"#C52B2F","#5E9AC4","#C52B2F",NA,"#F6C3C3"
"22","Ca40","xd449",10442,"Baditu","koor1239",2,2,1024,8192,8,5.81,37.87,"#5E9AC4","#88C1CA","#C52B2F","#C52B2F","#88C1CA"
"25","Ca7","xd455",10495,"Amhara","amha1245",5,2,128,16,2,11.71,39.54,"#88C1CA","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"26","Ia9","xd749",10506,"Ami","amis1246",1,4,8192,128,2,23.09,121.35,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#F1635B"
"27","Ah9","xd336",10528,"Anaguta","igut1238",1,3,8192,16,2,9.89,8.85,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#F6C3C3"
"33","Ei13","xd700",10627,"Angami","anga1288",2,4,16,128,2,26.15,94.56,"#F6C3C3","#88C1CA","#88C1CA","#88C1CA","#F1635B"
"34","Ah16","xd305",10649,"Angas","ngas1240",4,NA,1024,16,2,9.99,8.82,"#5E9AC4","#F1635B","#F6C3C3","#88C1CA",NA
"36","Ad45","xd115",10682,"Nyankole","nyan1307",3,5,8192,8192,1024,-0.46,30.55,"#C52B2F","#F6C3C3","#C52B2F","#5E9AC4","#C52B2F"
"37","Cj10","xd587",10771,"Madan","meso1252",4,NA,2,2,2,33.22,43.67,"#F1635B","#F1635B","#F1635B","#88C1CA",NA
"38","Sg2","xd1384",10814,"Mapuche","mapu1245",2,2,8192,16,2,-40.07,-71.01,"#C52B2F","#88C1CA","#F6C3C3","#88C1CA","#88C1CA"
"40","Ch11","xd548",10827,"Russians","russ1263",5,2,1024,16,2,58.41,50.21,"#5E9AC4","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"55","Ai3","xd359",11155,"Azande","zand1248",4,5,1024,8192,1024,4.62,26.72,"#5E9AC4","#F1635B","#C52B2F","#5E9AC4","#C52B2F"
"64","Ae10","xd128",11375,"Banyaruanda","kiny1244",5,5,8192,16,2,-1.57,29.64,"#C52B2F","#C52B2F","#F6C3C3","#88C1CA","#C52B2F"
"71","Ib3","xd752",11507,"Balinese","bali1278",5,1,2,16,2,-8.36,115.08,"#F1635B","#C52B2F","#F6C3C3","#88C1CA","#5E9AC4"
"73","Ag1","xd244",11529,"Bambara","bamb1269",4,2,8192,128,2,12.04,-9.99,"#C52B2F","#F1635B","#88C1CA","#88C1CA","#88C1CA"
"78","Nd63","xd1200",11639,"Bannock","bann1248",1,1,16,16,2,44.51,-111.17,"#F6C3C3","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
