latitude,longitude,label,name
-20,21,Precluded by early marriage,!Kung
-14,33,Precluded by early marriage,Chewa
-11,31,Precluded by early marriage,Bemba
-9,34,Precluded by early marriage,Nyakyusa
1,14,Precluded by early marriage,Kota
6,11,Precluded by early marriage,Bamum
4,11,Precluded by early marriage,Koko
-8,26,Precluded by early marriage,Luba
7,7,Precluded by early marriage,Igala
9,12,Precluded by early marriage,Mumuye
10,13,Precluded by early marriage,Hwana
9,13,Precluded by early marriage,Namshi
4,27,Precluded by early marriage,Abarambo
12,31,Precluded by early marriage,Koalib
5,37,Precluded by early marriage,Tsamai
6,36,Precluded by early marriage,Banna
12,13,Precluded by early marriage,Kanuri
29,26,Precluded by early marriage,Siwans
68,75,Precluded by early marriage,Yurak-Samoyeds
31,120,Precluded by early marriage,Chekiang
23,88,Precluded by early marriage,Bengali
30,78,Precluded by early marriage,Pahari
34,75,Precluded by early marriage,Kashmiri
20,77,Precluded by early marriage,Gujarati
-24,134,Precluded by early marriage,Northern Aranda
-22,132,Precluded by early marriage,Walbiri
-12.29,134.32,Precluded by early marriage,Gidjingali
-13.99,136.6,Precluded by early marriage,Anindilyagwa
-12.48,135.96,Precluded by early marriage,"Yolngu, Dhuwal"
-11.56,130.81,Precluded by early marriage,Tiwi
-4,144,Precluded by early marriage,Arapesh
-9,142,Precluded by early marriage,Keraki
63,219,Precluded by early marriage,Nabesna
58,243,Precluded by early marriage,Beaver
42,237,Precluded by early marriage,Takelma
54,231,Precluded by early marriage,Haisla
42,240,Precluded by early marriage,Kidutokado
48.78,251.02000000000000,Precluded by early marriage,Gros Ventre
33,276,Precluded by early marriage,Muscogee
13,275,Precluded by early marriage,Miskito
-11,308,Precluded by early marriage,Tapirapé
-21,302,Precluded by early marriage,Terena
-12,301,Precluded by early marriage,Nambikwara
-14,308,Precluded by early marriage,Shavante
-18,318,Precluded by early marriage,Aimoré
-6,311,Precluded by early marriage,Apinaye
-8,308,Precluded by early marriage,Kayapo
-25,30,"Prohibited, strongly sanctioned",Pedi
-1,35,"Prohibited, strongly sanctioned",Gusii
-3,30,"Prohibited, strongly sanctioned",Kiga
-3,36,"Prohibited, strongly sanctioned",Sonjo
-2,30,"Prohibited, strongly sanctioned",Banyaruanda
-3,28,"Prohibited, strongly sanctioned",Rega
1,30,"Prohibited, strongly sanctioned",Plains Bira
3.54,8.72,"Prohibited, strongly sanctioned",Bubi
-3,30,"Prohibited, strongly sanctioned",Rundi
7,2,"Prohibited, strongly sanctioned",Fon
6,8,"Prohibited, strongly sanctioned",Afikpo
10,10,"Prohibited, strongly sanctioned",Gbagyi
7,-2,"Prohibited, strongly sanctioned",Ashanti
6.89,-11.2,"Prohibited, strongly sanctioned",Vai
9,6,"Prohibited, strongly sanctioned",Nupe
15,10,"Prohibited, strongly sanctioned",Soninke
12,-6,"Prohibited, strongly sanctioned",Minianka
10,-12,"Prohibited, strongly sanctioned",Yalunka
11,6,"Prohibited, strongly sanctioned",Kamuku
10,12,"Prohibited, strongly sanctioned",Bura
11,14,"Prohibited, strongly sanctioned",Podokwo
7,14,"Prohibited, strongly sanctioned",Mbum
2,30,"Prohibited, strongly sanctioned",Lendu
7,29,"Prohibited, strongly sanctioned",Bongo
9,35,"Prohibited, strongly sanctioned",Mao
3,29,"Prohibited, strongly sanctioned",Mamvu
2,31,"Prohibited, strongly sanctioned",Alur
5,35,"Prohibited, strongly sanctioned",Bodi
-5,35,"Prohibited, strongly sanctioned",Tatoga
6,37,"Prohibited, strongly sanctioned",Konso
8,40,"Prohibited, strongly sanctioned",Arusi
8,37,"Prohibited, strongly sanctioned",Gibe
5,38,"Prohibited, strongly sanctioned",Burji
7,38,"Prohibited, strongly sanctioned",Sidama
5,37,"Prohibited, strongly sanctioned",Arbore
9,35,"Prohibited, strongly sanctioned",Anfillo
7,36,"Prohibited, strongly sanctioned",Kafa
12,37,"Prohibited, strongly sanctioned",Beta Israel
6,38,"Prohibited, strongly sanctioned",Baditu
12,42,"Prohibited, strongly sanctioned",Afar
13,38,"Prohibited, strongly sanctioned",Amhara
14,8,"Prohibited, strongly sanctioned",Tazarawa
17,18,"Prohibited, strongly sanctioned",Daza
21,17,"Prohibited, strongly sanctioned",Teda
33,4,"Prohibited, strongly sanctioned",Mzab
20,-5,"Prohibited, strongly sanctioned",Barabish
31,2,"Prohibited, strongly sanctioned",Algerians
30,9,"Prohibited, strongly sanctioned",Hamama
35,10.94,"Prohibited, strongly sanctioned",Sahel
25,33,"Prohibited, strongly sanctioned",Egyptians
30,-9,"Prohibited, strongly sanctioned",Shluh
33,-7,"Prohibited, strongly sanctioned",Beraber
42,20,"Prohibited, strongly sanctioned",Gheg
37,-6,"Prohibited, strongly sanctioned",Spaniards
47,288,"Prohibited, strongly sanctioned",French Canadians
53,-9,"Prohibited, strongly sanctioned",Irish
44,20,"Prohibited, strongly sanctioned",Serbs
47,20,"Prohibited, strongly sanctioned",Magyar
32,44,"Prohibited, strongly sanctioned",Kurd
43,41,"Prohibited, strongly sanctioned",Abkhaz
38,30,"Prohibited, strongly sanctioned",Turks
33,37,"Prohibited, strongly sanctioned",Rwala
32,35,"Prohibited, strongly sanctioned",Hebrews
32,45,"Prohibited, strongly sanctioned",Babylonians
28,47,"Prohibited, strongly sanctioned",Mutair
32.77,35.03,"Prohibited, strongly sanctioned",Druze
15,45,"Prohibited, strongly sanctioned",Yemeni
25,68,"Prohibited, strongly sanctioned",Sindhi
30,69,"Prohibited, strongly sanctioned",Marri
33,68,"Prohibited, strongly sanctioned",Ghilzai
32,73,"Prohibited, strongly sanctioned",Punjabi
35,66,"Prohibited, strongly sanctioned",Hazara
30,34,"Prohibited, strongly sanctioned",Basseri
34,63,"Prohibited, strongly sanctioned",Moghol
36,52,"Prohibited, strongly sanctioned",Iranians
61.99,164.24,"Prohibited, strongly sanctioned",Koryak
35,136,"Prohibited, strongly sanctioned",Japanese
26,100,"Prohibited, strongly sanctioned",Minchia
37,75,"Prohibited, strongly sanctioned",Burusho
28,84,"Prohibited, strongly sanctioned",Magar
24,87,"Prohibited, strongly sanctioned",Santal
26,83,"Prohibited, strongly sanctioned",Uttar Pradesh
22,74,"Prohibited, strongly sanctioned",Bhil
12,76,"Prohibited, strongly sanctioned",Kodavas
26,95,"Prohibited, strongly sanctioned",Sema
25,94,"Prohibited, strongly sanctioned",Purum
2.58,102.25,"Prohibited, strongly sanctioned",Negri Sembilan
17,107,"Prohibited, strongly sanctioned",Annamese
12,105,"Prohibited, strongly sanctioned",Khmer
5,103,"Prohibited, strongly sanctioned",Malays
24,121,"Prohibited, strongly sanctioned",Atayal
-7,110,"Prohibited, strongly sanctioned",Javanese
-6,143,"Prohibited, strongly sanctioned",Kutubu
-8,139,"Prohibited, strongly sanctioned",Marind-Amin
-9,148,"Prohibited, strongly sanctioned",Koiari
-6.69,147.26,"Prohibited, strongly sanctioned",Busama
-6,144,"Prohibited, strongly sanctioned",Enga
3.38,172.99,"Prohibited, strongly sanctioned",Makin
-1.47,175.06,"Prohibited, strongly sanctioned",Gilbert Onotoa
15.13,145.71,"Prohibited, strongly sanctioned",Chamorro
-9.49,159.82,"Prohibited, strongly sanctioned",Kaoka
-9.63,161.44,"Prohibited, strongly sanctioned",Ulawans
-2,147,"Prohibited, strongly sanctioned",Manus
-15.95,168.22,"Prohibited, strongly sanctioned",Bunlap
-10.73,165.85,"Prohibited, strongly sanctioned",Santa Cruz Islanders
62,216,"Prohibited, strongly sanctioned",Dena'ina
48,288,"Prohibited, strongly sanctioned",Montagnais
49,264,"Prohibited, strongly sanctioned",Minnesota Ojibwa
46,268,"Prohibited, strongly sanctioned",Katikitegon
46,275,"Prohibited, strongly sanctioned",Eastern Ojibwa
47,295,"Prohibited, strongly sanctioned",Mi'kmaq
49.16,234.15,"Prohibited, strongly sanctioned",Nuu chah nulth
51,235,"Prohibited, strongly sanctioned",Klahoose
50,237,"Prohibited, strongly sanctioned",Squamish
49.72,235.03,"Prohibited, strongly sanctioned",Comox
48.84,236.73000000000000,"Prohibited, strongly sanctioned",Lummi
48,237,"Prohibited, strongly sanctioned",Klallam
48,237,"Prohibited, strongly sanctioned",Twana
49.01,237.27000000000000,"Prohibited, strongly sanctioned",Cowichan
