,region
0,Oceania
1,Southeast Asia
2,Oceania
3,Southeast Asia
4,South America
5,South America
6,Europe
7,Africa
8,Southeast Asia
9,Southeast Asia
10,North Eurasia
11,Africa
12,North Eurasia
13,North America
14,Africa
15,Africa
16,Southeast Asia
17,Africa
18,North America
19,Africa
20,Oceania
21,South Asia
22,Central America
23,Southeast Asia
24,Oceania
25,North Eurasia
26,Africa
27,South America
28,Europe
29,Southeast Asia
30,South America
31,South America
32,South America
33,Southeast Asia
34,Southeast Asia
35,North America
36,Oceania
37,North Eurasia
38,Southeast Asia
39,Africa
40,South America
41,South America
42,North America
43,Europe
44,Southeast Asia
45,Oceania
46,Southeast Asia
47,Southeast Asia
48,Southeast Asia
49,Southeast Asia
50,North America
51,Africa
52,Oceania
53,North America
54,North America
55,North America
56,Southeast Asia
57,Southeast Asia
58,Southeast Asia
59,North Eurasia
60,Europe
61,Southeast Asia
62,Southeast Asia
63,South Asia
64,Southeast Asia
65,South America
66,South America
67,Southeast Asia
68,Southeast Asia
69,South America
70,South Asia
71,Southeast Asia
72,Western Asia
73,Central America
74,South America
75,Southeast Asia
76,South Asia
77,Europe
78,Africa
79,South Asia
80,South Asia
81,South America
82,Africa
83,North America
84,North America
85,East Asia
86,South America
87,South America
88,Southeast Asia
89,South Asia
90,Oceania
91,South America
92,Africa
93,Southeast Asia
94,South America
95,South America
96,South America
97,Africa
98,Southeast Asia
99,North America
100,Europe
101,Australia
102,Europe
103,North America
104,North America
105,East Asia
106,Europe
107,Central America
108,Central America
109,Europe
110,Southeast Asia
111,Central America
112,North America
113,Europe
114,South America
115,Southeast Asia
116,Southeast Asia
117,North America
118,Oceania
119,Europe
120,North America
121,Oceania
122,Europe
123,South Asia
124,Oceania
125,Europe
126,Southeast Asia
127,North America
128,Southeast Asia
129,North America
130,Europe
131,Africa
132,South America
133,Southeast Asia
134,North America
135,South America
136,South America
137,Europe
138,South America
139,East Asia
140,Southeast Asia
141,Central America
142,Oceania
143,Southeast Asia
144,Africa
145,South Asia
146,Southeast Asia
147,Oceania
148,Southeast Asia
149,Central America
150,South Asia
151,North America
152,Africa
153,South Asia
154,North Eurasia
155,Europe
156,Central America
157,Oceania
158,Africa
159,Central America
160,Oceania
161,North America
162,Southeast Asia
163,Europe
164,South America
165,South Asia
166,North America
167,Western Asia
168,Oceania
169,North Eurasia
170,Central America
171,Africa
172,Africa
173,Europe
174,Africa
