,index,canto_coding_id,region,division,subregion,area_kingdom,culture,lat,lng,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37,Number of Samples
3,0,752,North,India,Gangetic Plain,"Varanasi, Uttar Pradesh",Benares,25.13,82.56,0.31,0.62,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.08,1.0,0.08,1.0,0.08,1.0,0.31,0.31,0.38,0.85,0.77,0.31,0.08,0.54,0.38,0.77,0.08,0.08,0.08,1.0,0.08,0.08,0.31,0.08,0.08,0.08,0.31,0.31,5
4,0,753,North,India,N W India,Rajasthan,Rajasthan,27.02,74.21,0.15,0.69,0.54,0.31,0.08,0.08,0.77,1.0,0.54,0.08,0.46,0.08,0.46,0.69,0.69,0.08,0.54,0.08,0.31,0.54,0.31,0.08,0.31,0.69,0.31,1.0,1.0,0.08,1.0,0.08,1.0,0.77,0.62,0.77,0.54,0.77,0.54,7
5,0,754,North,India,N W India,Rajasthan,Rajasthan,23.91,87.52,0.15,0.62,0.54,0.31,0.08,0.08,1.0,0.54,0.77,0.08,0.69,0.08,0.69,0.69,0.69,0.08,0.08,0.08,0.08,0.77,0.31,0.08,0.08,0.69,0.77,0.08,0.08,0.38,0.08,0.08,0.08,0.31,0.08,0.31,0.77,0.54,0.54,7
6,0,755,North,India/ Bangladesh,Bay of Bengal,Bengal,Bengal,22.57,88.36,0.15,0.69,0.54,0.31,0.08,0.08,1.0,0.54,1.0,0.08,0.46,0.08,0.46,0.69,1.0,0.15,0.08,0.08,0.08,0.54,0.31,0.08,0.08,1.0,0.54,0.69,1.0,1.0,0.54,0.08,1.0,0.77,0.35,0.42,0.54,0.54,0.31,3
10,0,3547,North,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,23.7,86.94,0.77,0.69,0.54,0.77,0.31,0.31,1.0,0.54,0.54,0.31,1.0,0.38,1.0,0.54,0.69,0.77,0.77,1.0,0.08,0.54,0.31,0.08,0.08,0.23,0.77,0.08,0.08,0.08,0.54,0.31,0.08,0.42,0.08,0.08,0.31,0.08,0.31,11
11,0,3548,North,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,23.7,86.94,0.46,1.0,1.0,0.54,0.31,0.54,1.0,0.31,0.77,1.0,0.46,0.23,0.46,0.69,1.0,0.92,0.54,1.0,0.08,0.31,0.54,0.08,0.31,0.85,1.0,0.69,1.0,0.69,1.0,1.0,1.0,0.42,0.08,0.08,0.54,0.31,0.54,11
12,0,3549,North,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,23.7,86.94,1.0,0.08,0.08,1.0,0.31,0.54,0.08,0.08,0.08,0.54,0.85,1.0,0.08,0.08,0.69,0.81,1.0,1.0,0.08,0.31,0.54,1.0,1.0,0.85,0.54,0.69,1.0,0.38,1.0,0.54,1.0,0.54,0.23,0.31,0.54,0.31,0.31,11
13,0,3550,North,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,23.7,86.94,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,0.85,0.08,0.08,0.08,0.69,0.08,0.54,0.23,0.85,0.77,0.54,0.08,0.77,0.38,0.54,0.08,1.0,0.38,0.54,0.08,1.0,0.54,0.23,0.08,0.31,0.54,0.31,11
14,0,3551,North,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,23.7,86.94,0.42,0.69,0.62,0.77,0.31,0.31,0.54,0.54,1.0,0.31,1.0,0.38,1.0,0.54,0.69,0.62,1.0,1.0,0.69,0.77,0.31,0.08,0.31,0.85,0.77,1.0,1.0,0.38,0.54,0.31,0.54,0.42,0.23,0.08,0.54,0.77,0.31,11
15,0,3552,North,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,25.09,85.31,0.15,0.92,0.38,0.31,0.08,0.08,0.54,0.54,0.54,0.54,0.85,0.08,0.85,0.69,0.69,0.15,0.42,0.08,0.31,1.0,0.31,0.08,0.08,0.85,0.54,0.69,0.69,0.38,0.54,0.54,0.08,0.42,0.23,0.31,0.54,0.77,0.31,11
16,0,3553,North,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,23.7,86.94,0.15,0.69,0.38,0.31,0.08,0.08,0.77,0.54,1.0,0.08,0.46,0.08,0.46,0.54,0.69,0.31,0.42,0.08,0.31,0.77,0.54,0.08,0.54,0.38,0.77,0.69,0.69,0.38,0.54,0.08,0.54,0.77,0.62,0.77,0.77,0.77,0.31,11
17,0,3554,North,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,23.7,86.94,0.15,0.62,0.38,0.31,0.08,0.08,0.54,0.31,0.77,0.08,0.85,0.08,0.85,0.69,0.69,0.08,0.77,0.08,0.31,0.77,0.31,0.08,0.08,0.23,0.54,0.38,0.38,0.08,0.54,0.08,1.0,0.42,0.08,0.08,0.31,0.77,0.31,11
18,0,3555,North,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,23.7,86.94,0.46,0.46,0.46,0.54,0.31,0.54,0.54,1.0,0.77,0.08,0.85,0.23,0.85,0.54,1.0,0.92,0.77,1.0,0.08,0.31,0.31,0.08,1.0,0.38,0.31,0.08,0.38,0.08,0.54,0.08,1.0,0.77,0.23,0.31,0.54,0.77,0.54,11
19,0,3556,North,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,23.7,86.94,0.54,0.69,0.62,0.77,0.31,0.31,0.54,0.31,0.31,0.77,1.0,0.38,0.69,0.54,0.08,0.77,0.77,1.0,0.08,0.54,0.31,0.08,0.31,0.69,1.0,0.08,0.69,0.38,0.54,0.77,1.0,0.54,0.23,0.08,0.31,0.08,0.77,11
20,0,3557,North,India/ Bangladesh,Bay of Bengal,Bengal,Kanyapur,22.56,88.36,0.15,0.69,0.54,0.31,0.08,0.08,0.77,0.54,0.31,0.08,1.0,0.08,1.0,0.69,0.69,0.08,0.31,0.08,0.69,0.77,0.31,0.08,0.08,0.23,0.77,0.08,1.0,0.08,0.54,0.08,0.54,0.42,0.08,0.08,0.54,0.31,0.31,11
21,0,3763,North,Afghanistan/ Pakistan/ India,Indus Valley,"Punjab, India",Bhatra Sikh,18.94,81.9,0.15,0.23,0.38,0.31,0.08,0.08,1.0,0.77,0.77,0.31,0.23,0.08,0.46,0.85,0.69,0.31,0.54,0.85,0.31,0.77,0.54,0.08,0.31,0.85,0.77,0.69,1.0,0.69,0.54,0.31,1.0,0.54,0.0,0.0,0.0,0.42,0.77,9
22,0,3764,North,Afghanistan/ Pakistan/ India,Indus Valley,"Punjab, India",Bhatra Sikh,28.13,95.83,0.62,0.69,0.62,0.77,0.31,0.42,1.0,0.77,0.77,0.54,0.69,0.31,0.69,0.38,0.69,0.69,0.77,0.85,0.08,0.54,0.77,0.08,0.31,0.77,0.77,0.69,1.0,0.69,0.54,0.54,1.0,0.42,0.23,0.31,0.54,0.54,0.77,9
23,0,3765,North,Afghanistan/ Pakistan/ India,Indus Valley,"Punjab, India",Bhatra Sikh,19.24,82.02,0.38,0.15,0.46,0.54,0.54,0.77,0.54,0.77,0.77,0.31,0.69,0.23,0.69,0.54,0.69,0.46,0.54,0.62,0.31,0.54,0.54,0.08,0.54,0.69,0.54,1.0,1.0,0.38,0.54,0.31,1.0,0.54,0.62,0.54,0.54,0.54,0.54,9
24,0,3766,North,Afghanistan/ Pakistan/ India,Indus Valley,"Punjab, India",Bhatra Sikh,19.24,82.02,0.69,0.08,0.08,0.77,0.54,0.54,0.08,0.08,0.08,0.54,0.35,0.23,0.08,0.08,0.69,0.23,0.77,0.08,0.08,0.77,0.54,0.08,0.54,0.85,0.77,0.38,1.0,0.69,1.0,0.54,1.0,0.42,0.62,0.31,0.54,0.31,0.77,9
