canto_coding_id,place,region
749,Khattak,North India
750,Kashmiri Dards,North India
751,Jaunsari,North India
752,Benares,North India
753,Rajasthan,West India
754,Rajasthan,West India
755,Bengal,East India
757,Saurasthra,East India
842,Pakistani Classical,Pakistan
975,N India Muslim,North India
3547,Kanyapur,West India
3548,Kanyapur,West India
3549,Kanyapur,West India
3550,Kanyapur,West India
3551,Kanyapur,West India
3552,Kanyapur,West India
3553,Kanyapur,West India
3554,Kanyapur,West India
3555,Kanyapur,West India
3556,Kanyapur,West India
3557,Kanyapur,West India
3763,Bhatra Sikh,North India
3764,Bhatra Sikh,North India
3765,Bhatra Sikh,North India
3766,Bhatra Sikh,North India
3767,Bhatra Sikh,North India
3768,Bhatra Sikh,North India
3769,Bhatra Sikh,North India
3770,Bhatra Sikh,North India
3771,Bhatra Sikh,North India
3818,Garhwal,North India
3819,Garhwal,North India
3820,"Gadaba, Bhumij",East India
3821,"Gadaba, Bhumij",East India
3822,"Gadaba, Bhumij",East India
3823,"Gadaba, Bhumij",East India
3824,"Gadaba, Bhumij",East India
3825,"Gadaba, Bhumij",East India
3826,"Gadaba, Bhumij",East India
3827,"Gadaba, Bhumij",East India
3828,"Gadaba, Bhumij",East India
3829,"Gadaba, Bhumij",East India
3836,"Gadaba, Bhumij",East India
3837,"Gadaba, Bhumij",East India
3838,"Gadaba, Bhumij",East India
3839,"Gadaba, Bhumij",East India
3840,"Gadaba, Bhumij",East India
3841,"Gadaba, Bhumij",East India
3842,"Gadaba, Bhumij",East India
3843,"Gadaba, Bhumij",East India
9872,Bhojpuri,East India
9873,Bhojpuri,East India
9874,Bhojpuri,East India
9875,Bhojpuri,East India
9876,Bhojpuri,East India
9877,Bhojpuri,East India
9878,Bhojpuri,East India
9879,Bhojpuri,East India
9880,Bhojpuri,East India
9881,Bhojpuri,East India
9882,Bhojpuri,East India
3851,Banjara,West India
9883,Bengal,East India
9884,Bengal,East India
9885,Paroja,North India
9886,Paroja,North India
9887,Paroja,North India
9888,Paroja,North India
9889,Hill Saora,North India
9890,Hill Saora,North India
9891,Hill Saora,North India
9895,Uttar Pradesh,North India
9896,Uttar Pradesh,North India
9897,Benares,North India
9898,Benares,North India
9899,Uttar Pradesh,North India
9900,Benares,North India
9901,Benares,North India
9906,Kullu,North India
9907,Kullu,North India
9908,Kullu,North India
9909,Kullu,North India
9910,Kullu,North India
9911,Kullu,North India
9912,Kullu,North India
9914,Uttar Pradesh,North India
9915,Uttar Pradesh,North India
9916,Uttar Pradesh,North India
9918,Uttar Pradesh,North India
9919,Uttar Pradesh,North India
9920,Uttar Pradesh,North India
3847,Kurukh,North India
3848,Kurukh,North India
3849,Kurukh,North India
9921,Rajasthan,North India
9922,Rajasthan,North India
9923,Rajasthan,North India
9924,Rajasthan,North India
9925,Rajasthan,North India
9902,Burusho,Pakistan
9903,Burusho,Pakistan
9904,Shina,Pakistan
9905,Burusho,Pakistan
3790,"Gadaba, Bhumij",South India
3791,"Gadaba, Bhumij",South India
3792,"Gadaba, Bhumij",South India
3793,"Gadaba, Bhumij",South India
3794,"Gadaba, Bhumij",South India
3795,"Gadaba, Bhumij",South India
3796,"Gadaba, Bhumij",South India
3785,Dorla,South India
3786,Dorla,South India
3787,Dorla,South India
3788,Dorla,South India
3789,Dorla,South India
3799,Dorla,South India
3800,Dorla,South India
3801,Dorla,South India
756,C Indian Folk,South India
