canto_coding_id,region,division,subregion,area_kingdom,culture,lat,lng,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37
749,South Asia,Afghanistan/ Pakistan/ India,Hindu Kush/ Karakoram,Khyber Pakhtunkhwa,Khattak,31.95,77.1,0.54,0.69,0.62,0.77,0.31,0.31,0.77,0.31,0.31,1.0,0.46,0.38,0.46,0.69,0.69,0.77,0.54,1.0,0.08,0.31,0.54,0.08,0.31,0.69,1.0,0.38,0.38,0.38,0.08,1.0,1.0,0.08,0.08,0.08,0.08,0.08,1.0
750,South Asia,India/ Nepal/ Tibet,Himalayan Mtns & Foothills,Jammu & Kashmir,Kashmiri Dards,33.77,76.57,0.62,0.15,0.38,1.0,0.31,0.77,1.0,0.77,1.0,0.08,0.46,0.23,0.46,0.69,0.69,0.15,0.08,0.08,0.08,0.54,0.54,0.46,0.54,0.85,0.77,1.0,1.0,0.69,0.54,0.08,1.0,0.31,0.23,0.31,0.31,0.31,0.54
751,South Asia,India/ Nepal/ Tibet,Himalayan Mtns & Foothills,Uttarakhand,Jaunsari,19.44,84.26,0.46,0.08,0.08,1.0,1.0,0.77,0.08,0.08,0.08,0.77,0.92,0.08,0.08,0.08,0.08,0.92,0.31,1.0,0.08,0.54,0.54,0.77,1.0,0.23,0.77,0.23,1.0,0.08,0.54,0.77,0.08,0.77,0.77,0.77,0.77,0.77,1.0
752,South Asia,India,Gangetic Plain,"Varanasi, Uttar Pradesh",Benares,25.13,82.56,0.31,0.62,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.08,1.0,0.08,1.0,0.08,1.0,0.31,0.31,0.38,0.85,0.77,0.31,0.08,0.54,0.38,0.77,0.08,0.08,0.08,1.0,0.08,0.08,0.31,0.08,0.08,0.08,0.31,0.31
753,South Asia,India,N W India,Rajasthan,Rajasthan,27.02,74.21,0.15,0.69,0.54,0.31,0.08,0.08,0.77,1.0,0.54,0.08,0.46,0.08,0.46,0.69,0.69,0.08,0.54,0.08,0.31,0.54,0.31,0.08,0.31,0.69,0.31,1.0,1.0,0.08,1.0,0.08,1.0,0.77,0.62,0.77,0.54,0.77,0.54
754,South Asia,India,N W India,Rajasthan,Rajasthan,23.91,87.52,0.15,0.62,0.54,0.31,0.08,0.08,1.0,0.54,0.77,0.08,0.69,0.08,0.69,0.69,0.69,0.08,0.08,0.08,0.08,0.77,0.31,0.08,0.08,0.69,0.77,0.08,0.08,0.38,0.08,0.08,0.08,0.31,0.08,0.31,0.77,0.54,0.54
755,South Asia,India/ Bangladesh,Bay of Bengal,Bengal,Bengal,22.57,88.36,0.15,0.69,0.54,0.31,0.08,0.08,1.0,0.54,1.0,0.08,0.46,0.08,0.46,0.69,1.0,0.15,0.08,0.08,0.08,0.54,0.31,0.08,0.08,1.0,0.54,0.69,1.0,1.0,0.54,0.08,1.0,0.77,0.35,0.42,0.54,0.54,0.31
757,South Asia,India,Western Ghats,Gujarat,Saurasthra,22.25,71.19,0.69,0.38,0.46,0.54,0.54,0.54,0.54,0.31,0.31,0.31,0.69,0.23,0.69,0.23,0.08,0.15,0.54,0.08,0.08,0.54,0.54,0.08,0.54,0.69,0.54,0.38,1.0,0.38,0.54,0.31,1.0,0.54,0.08,0.54,0.54,0.54,0.54
842,South Asia,Afghanistan/ Pakistan/ India,Indus Valley,"Punjab, Pakistan",Pakistani Classical,33.68,73.04,0.42,0.62,0.54,0.77,0.54,0.31,1.0,0.54,0.31,1.0,0.92,0.38,0.92,0.54,0.69,0.08,0.08,0.08,0.69,1.0,0.31,0.08,0.08,1.0,1.0,1.0,1.0,0.08,0.08,1.0,0.08,1.0,0.08,0.08,0.08,1.0,1.0
975,South Asia,India/ Nepal/ Tibet,Himalayan Mtns & Foothills/ Indus Valley,"Jammu & Kashmir/ Punjab, India",N India Muslim,25.31,82.97,0.77,0.15,0.38,0.54,0.54,1.0,1.0,0.54,0.77,0.08,0.46,0.23,0.35,0.69,0.69,0.69,0.54,1.0,0.31,0.54,0.54,0.08,0.31,0.85,0.77,1.0,0.85,0.38,1.0,0.08,1.0,0.54,0.23,0.54,0.31,0.31,0.31
