,soc_id,culture,lat,lng,cv_4
0,458,Kouyou,15.89,-0.48,1.0
1,2137,Ekonda Mongo,18.11,-0.74,1.0
2,327,Budu,30.64,2.72,0.31
3,231,Mamvu,21.75,-4.03,0.31
4,3359,Mayogo,28.29,3.58,1.0
5,315,Ndongo,29.7,3.73,0.31
6,325,Forest Bira,29.04,-0.79,1.0
7,227,Lendu,30.23,1.57,0.31
8,230,Lese,30.64,2.72,1.0
9,9213,BaNguana,30.64,2.72,0.08
10,249,Mbuti,30.64,2.72,1.0
11,309,Luba-Lulua,20.71,-5.04,1.0
12,319,Pende,18.42,-5.11,0.54
13,237,Alur,29.54,3.03,0.31
14,9160,Kukuya Teke,14.37,-2.3,1.0
15,30064,Baka,14.02,2.62,1.0
16,423,Ngundi,16.04,1.61,1.0
17,245,Mbendjele,16.04,1.61,1.0
18,314,Mbala,18.8,-4.16,1.0
19,426,Bongili,16.62,0.54,0.54
20,427,Topoke,24.9,0.54,1.0
21,9303,Banda,19.66,6.76,0.54
22,236,Masa,14.84,11.85,0.54
23,9265,Baya,16.04,1.61,1.0
24,30024,Gbaya Bodoe,15.6,5.94,0.54
25,30006,Sara Daye,17.76,8.33,1.0
26,30010,Sara Gor,17.11,8.29,0.31
27,8015,Sara Kaba,16.42,7.81,1.0
28,30012,Sara Madjingaye,17.85,8.91,1.0
29,238,Azande,26.41,1.64,1.0
30,239,Mundu,30.64,2.72,1.0
31,30177,Bedzan,13.5,4.31,1.0
32,30001,Mbum,15.13,7.75,1.0
33,30144,Ouldeme,13.6,10.46,1.0
34,30185,Adamawa Fulani,14.6,10.52,0.54
35,30143,Mundang,13.61,10.46,0.54
36,30142,Tupuri,15.12,10.02,0.54
37,215,Wodaabe,8.98,13.8,0.54
38,332,Fut,10.3,6.09,1.0
39,30189,Bamum,11.51,3.87,1.0
40,297,Chokwe,22.87,-9.79,1.0
41,310,Lunda,24.52,-12.02,1.0
42,305,Bantu Lala,30.52,-13.35,0.31
43,312,Luvale,19.89,-11.77,1.0
44,301,Kanioka,26.73,-10.98,1.0
45,296,Northern Mbundu,14.89,-8.98,1.0
46,306,Luba,23.94,-6.73,1.0
47,292,Aushi Bemba,28.88,-11.18,1.0
48,294,Bemba,31.07,-10.53,1.0
49,308,Hemba,25.46,-10.71,1.0
50,330,Adouma,12.84,-0.76,1.0
51,425,Okande,11.94,-0.09,0.54
52,329,Bulu,11.15,2.92,1.0
53,30149,Fang,12.13,2.15,1.0
54,9244,Mboko Sawa,26.36,-4.64,0.08
55,1931,Acoli,32.93,2.95,0.54
56,2287,Arusa Masai,36.68,-3.38,1.0
57,259,Great Lakes Twa,28.29,-3.01,1.0
58,30029,Hutu,29.68,-2.58,0.31
59,428,Tutsi,29.75,-2.07,0.31
60,1639,Basoga,32.57,0.31,0.54
61,9153,Gogo,35.75,-6.16,1.0
62,9129,Nyamwezi,32.81,-5.03,0.0
63,30035,Sandawe,35.75,-6.16,0.54
64,322,Ankole,30.49,-0.49,1.0
65,431,Bahima,30.49,-0.49,0.77
66,446,Bahima Bahinda,30.49,-0.49,0.31
67,2688,Hehe,35.69,-7.73,1.0
68,9120,Haya,31.8,-1.32,1.0
69,3875,Maasai,37.26,-2.65,1.0
70,4300,Hadza,35.0,-3.58,1.0
71,30184,El Molo,35.58,3.12,0.88
72,4428,Abaluhya,36.82,-1.29,0.54
73,9176,Bukusu,34.48,0.33,1.0
74,30078,Rendille,37.97,2.44,0.54
75,30167,Gĩkũyũ,36.95,-0.43,0.54
76,9115,Meru,36.68,-3.38,1.0
77,1904,Chagga,37.51,-3.28,1.0
78,30176,Samburu Maasai,36.66,1.16,0.54
79,282,Tonga (Malawi),33.16,-24.0,0.31
80,298,Tumbuka,28.28,-14.11,1.0
81,30038,Datooga,36.95,-4.31,0.54
82,241,Nandi,35.09,0.2,1.0
83,30163,Sukuma,32.91,-2.51,0.54
84,9456,Kipsigis,35.28,-0.36,0.77
85,30180,Turkana,36.0,3.62,0.54
86,30101,Pokot,35.39,1.62,0.54
87,240,Luo,34.76,-0.09,0.31
88,2042,Afar,40.95,11.75,0.54
89,4454,Somalis,43.79,6.66,0.31
90,9975,Ajuran,43.0,7.0,0.77
91,9424,Harari,42.12,9.31,1.0
92,708,Amhara,38.31,14.03,0.54
93,4349,Weyto,37.3,12.02,0.88
94,9990,Tigrinya,38.31,14.03,0.31
95,9426,Tigre,43.86,5.03,0.08
96,9996,Arsi,39.65,7.93,0.31
97,9998,Bale Oromo,40.3,6.76,0.31
98,2518,Kottu,42.19,9.31,0.54
99,4432,Borana,40.63,7.54,1.0
100,4351,Garre,40.63,7.54,0.54
101,30069,Aari,36.57,5.78,1.0
102,4422,Basketo,36.56,6.3,1.0
103,9420,Bench-Maji,35.58,6.99,1.0
104,4348,Burji,37.57,5.82,0.88
105,9423,Dizi,35.58,6.17,1.0
106,4399,Dorze,37.0,6.25,1.0
107,4352,Gamo,37.0,6.25,1.0
108,9421,Gidole,37.0,6.25,1.0
109,4218,Hamar,29.41,13.83,0.77
110,4443,Konso,37.21,5.31,1.0
111,9987,Koorete,38.4,6.73,1.0
112,4401,Mursi,36.26,5.45,0.54
113,9425,Sidama,35.58,6.17,1.0
114,4435,Wolaita,37.74,6.83,1.0
115,2353,Comoros,47.5,-18.87,0.54
116,2187,Betsileo,46.93,-21.32,1.0
117,1660,Merina,47.02,-19.87,1.0
118,9133,Antankarana,49.05,-13.2,1.0
119,25,Sakalava,43.68,-23.35,1.0
