"","soc_id.strat","xd_id.x","soc_id.canto","pref_name_for_society.x","Glottocode","SocialFactors_V33_code","line_23","line_4","line_22","Society_latitude","Society_longitude","Language_family","line23_col","stratification_col","line4_col","line22_col"
"1",NA,NA,10000,NA,"area1240",NA,8192,8192,8192,-9.21,161.16,"Austronesian","#5E9AC4",NA,"#C52B2F",NA
"2",NA,NA,10027,NA,"luyi1234",NA,8192,128,2,0.22,34.82,"Atlantic-Congo","#5E9AC4",NA,"#88C1CA","#88C1CA"
"3","Ie15","xd791",10033,"Abelam","ambu1247","1",8192,128,2,-4.33,143.25,"Ndu","#5E9AC4","#5E9AC4","#88C1CA","#88C1CA"
"4","Ci12","xd577",10055,"Abkhaz","abkh1244","4",8192,8192,1024,44.32,39.98,"Abkhaz-Adyge","#5E9AC4","#F1635B","#C52B2F","#5E9AC4"
"5","Ee1","xd653",10077,"Adi","bori1243","3",16,8192,2,27.63,94.35,"Sino-Tibetan","#F6C3C3","#F6C3C3","#C52B2F","#88C1CA"
"6",NA,NA,10099,NA,"acol1236",NA,8192,128,2,3.06,32.54,"Nilotic","#5E9AC4",NA,"#88C1CA","#88C1CA"
"7",NA,NA,10137,NA,"hara1271",NA,128,8192,8,9.31,42.12,"Afro-Asiatic","#F1635B",NA,"#C52B2F","#C52B2F"
"8","Ie26","xd803",10140,"Ngarawapum","adze1240","1",8192,128,2,-6.39,146.29,"Austronesian","#5E9AC4","#5E9AC4","#88C1CA","#88C1CA"
"9","Ca6","xd454",10143,"Afar","afar1241","3",1024,128,2,12.23,41.81,"Afro-Asiatic","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"10",NA,NA,10176,NA,"pash1269",NA,128,16,2,34.02,71.15,"Indo-European","#F1635B",NA,"#F6C3C3","#88C1CA"
"11",NA,NA,10209,NA,"sakh1245",NA,8192,8192,8192,47.23,142.87,"Ainu","#5E9AC4",NA,"#C52B2F",NA
"12",NA,NA,10220,NA,"siss1243",NA,128,16,2,-3.15,142.35,"Austronesian","#F1635B",NA,"#F6C3C3","#88C1CA"
"13","Ih5","xd871",10231,"Ajie","ajie1238","1",8192,8192,2,-21.31,165.47,"Austronesian","#5E9AC4","#5E9AC4","#C52B2F","#88C1CA"
"14",NA,NA,10247,NA,"soma1255",NA,8192,1024,64,1.81,44.82,"Afro-Asiatic","#5E9AC4",NA,"#5E9AC4","#F1635B"
"15","Sg5","xd1387",10264,"Alacaluf","qawa1238","1",1024,16,2,-54.79,-70.14,"Kawesqar","#C52B2F","#5E9AC4","#F6C3C3","#88C1CA"
"16",NA,NA,10286,NA,"cent2127",NA,1024,128,2,60.31,-161.49,"Eskimo-Aleut","#C52B2F",NA,"#88C1CA","#88C1CA"
"17","Ce1","xd528",10297,"Gheg","gheg1238",NA,128,16,2,42.32,21.38,"Indo-European","#F1635B",NA,"#F6C3C3","#88C1CA"
"18",NA,NA,10374,NA,"swis1247",NA,8192,8192,2,47.05,8.46,"Indo-European","#5E9AC4",NA,"#C52B2F","#88C1CA"
"19","Aj17","xd392",10396,"Alur","alur1250","4",8192,16,2,2.36,31.01,"Nilotic","#5E9AC4","#F1635B","#F6C3C3","#88C1CA"
"20","Se8","xd1372",10407,"Amahuaca","amah1246","1",8192,8192,8192,-10.21,-72.32,"Pano-Tacanan","#5E9AC4","#5E9AC4","#C52B2F",NA
"21",NA,NA,10418,NA,"oshi1235",NA,128,16,2,28.27,129.35,"Japonic","#F1635B",NA,"#F6C3C3","#88C1CA"
"22","Ca40","xd449",10442,"Baditu","koor1239","4",1024,8192,8,5.81,37.87,"Ta-Ne-Omotic","#C52B2F","#F1635B","#C52B2F","#C52B2F"
"23",NA,NA,10445,NA,"anta1255",NA,8192,8192,8192,-18.89,47.53,"Austronesian","#5E9AC4",NA,"#C52B2F",NA
"24",NA,NA,10451,NA,"amdo1237",NA,NA,NA,NA,34.52,111.48,"Sino-Tibetan",NA,NA,NA,NA
"25","Ca7","xd455",10495,"Amhara","amha1245","5",128,16,2,11.71,39.54,"Afro-Asiatic","#F1635B","#C52B2F","#F6C3C3","#88C1CA"
"26","Ia9","xd749",10506,"Ami","amis1246",NA,8192,128,2,23.09,121.35,"Austronesian","#5E9AC4",NA,"#88C1CA","#88C1CA"
"27","Ah9","xd336",10528,"Anaguta","igut1238","2",8192,16,2,9.89,8.85,"Atlantic-Congo","#5E9AC4","#88C1CA","#F6C3C3","#88C1CA"
"28",NA,NA,10555,NA,"bukh1238",NA,2,16,2,39.76,64.45,"Indo-European","#88C1CA",NA,"#F6C3C3","#88C1CA"
"29",NA,NA,10572,NA,"anda1279",NA,16,16,2,36.53,-6.28,"Indo-European","#F6C3C3",NA,"#F6C3C3","#88C1CA"
"30",NA,NA,10583,NA,"jara1245",NA,1024,8192,8,11.61,92.66,"Jawara-Onge","#C52B2F",NA,"#C52B2F","#C52B2F"
"31",NA,NA,10594,NA,"andh1242",NA,128,8192,64,19.47,77.72,"Indo-European","#F1635B",NA,"#C52B2F","#F1635B"
"32",NA,NA,10605,NA,"baha1260",NA,8192,8192,8192,24.71,-78.05,"Indo-European","#5E9AC4",NA,"#C52B2F",NA
"33","Ei13","xd700",10627,"Angami","anga1288","3",16,128,2,26.15,94.56,"Sino-Tibetan","#F6C3C3","#F6C3C3","#88C1CA","#88C1CA"
"34","Ah16","xd305",10649,"Angas","ngas1240","4",1024,16,2,9.99,8.82,"Afro-Asiatic","#C52B2F","#F1635B","#F6C3C3","#88C1CA"
"35",NA,NA,10671,NA,"cari1284",NA,8192,8192,2,18.23,-63.05,"Indo-European","#5E9AC4",NA,"#C52B2F","#88C1CA"
"36","Ad45","xd115",10682,"Nyankole","nyan1307","5",8192,8192,1024,-0.46,30.55,"Atlantic-Congo","#5E9AC4","#C52B2F","#C52B2F","#5E9AC4"
"37","Cj10","xd587",10771,"Madan","meso1252","4",2,2,2,33.22,43.67,"Afro-Asiatic","#88C1CA","#F1635B","#F1635B","#88C1CA"
