,var_title,var_definition,var_type,index_category
1,THE SOCIAL ORGANIZATION OF THE VOCAL GROUP,"This line describes the social organization of the singing group. Here you will find variations of “call and response.” Two basic elements of group organization are considered:\n
1) Prominence of solo or leader’s part\n
2) Type of group organization\n
The scale is one of increasingly integrated social relations, from solo to interlock.",Categorical,Social Organization
2,RELATIONSHIP OF ORCHESTRA TO VOCAL PARTS,"The term “orchestra” refers to the performers of any non-vocal sounds heard on the record, whether they be body-produced (clapping, stamping) or object-produced by anything from two sticks to a symphony orchestra.",Categorical,Orchestra
3,SOCIAL ORGANIZATION OF THE ORCHESTRA,"Line 3 and Line 1 (Social Organization of the Vocal Group) correspond, but the social relationships between the orchestra’s parts are more difficult to identify—for example, it is often hard to distinguish between types of overlap. In many cases, two or more coding situations may be equally important, requiring multiple coding. The scale is one of increasing integration, from solo to interlock.",Categorical,Orchestra
4,MUSICAL ORGANIZATION OF THE VOCAL PART,The musical coordination amongst the singers in a group considers both melodic and rhythmic elements.,Categorical,Musical Organization
5,TONAL BLEND OF THE VOCAL GROUP,"Both diffuse and cohesive sounds are pleasing within a given aesthetic. Much tonal blend depends upon wide, clear voicing and the relative absence of vocal noise and ornamentation. In contrast, with tonal independence, no individual yields to another, producing a noisy effect. Intermediate blend is often a reedy unison in which individual voices are heard.",Ordinal,Musical Organization
6,RHYTHMIC COORDINATION OF THE VOCAL GROUP,"The degree of rhythmic coordination between members of the singing group depends on the degree to which its members coordinate their attacks and releases. Rhythmic blend is considered maximal when attacks and releases are precisely coordinated. If movement from note to note is staggered, then rhythmic blend is considered minimal. Both effects are aesthetically grounded, powerful, and pleasing.",Ordinal,Musical Organization
7,MUSICAL ORGANIZATION OF THE ORCHESTRA,"Overall musical coordination amongst members of the orchestra, taking both melodic and rhythmic elements into account. Here, polyrhythm is treated as a type of polyphony, as each part is independent.",Categorical,Musical Organization
8,TONAL BLEND OF THE ORCHESTRA,"The concept of tonal blend applies to orchestras differently than to voices. An orchestra composed of several different kinds of instruments can rarely achieve the same degree of tonal unity as a chorus of voices. Consequently, the measure of blend for orchestras is not uniformity of timbre, but rather the overall sonority of the ensemble.",Ordinal,Musical Organization
9,RHYTHMIC COORDINATION OF THE ORCHESTRA,"Rates the degree of rhythmic coordination between members of the orchestra. If all attacks and releases are precisely coordinated, rhythmic blend is considered maximal. If, on the other hand, movements from note to note are invariably asynchronous, rhythmic blend is considered minimal.",Ordinal,Orchestra
10,REPETITION OF TEXT,"Listening to the text as it is performed, consider the degree of repetition in the text without considering the meaning of the words. Knowledge of the language of the text has no bearing on this rating. Instead, make a judgment about the proportion of the text in the whole song that seems to be repeated, or which consists of words that have no lexical meaning.",Ordinal,Social Organization
