canto_coding_id,place,region
749,Khattak,North India
750,Kashmiri Dards,North India
751,Jaunsari,North India
752,Benares,North India
753,Rajasthan,West India
754,Rajasthan,West India
755,Bengal,East India
757,Saurasthra,East India
842,Pakistani Classical,Pakistan
842,Pakistani Classical,Pakistan
975,N India Muslim,North India
3547,Kanyapur,West India
3548,Kanyapur,West India
3549,Kanyapur,West India
3550,Kanyapur,West India
3551,Kanyapur,West India
3552,Kanyapur,West India
3553,Kanyapur,West India
3554,Kanyapur,West India
3555,Kanyapur,West India
3556,Kanyapur,West India
3557,Kanyapur,West India
3763,Bhatra Sikh,North India
3764,Bhatra Sikh,North India
3765,Bhatra Sikh,North India
3766,Bhatra Sikh,North India
3767,Bhatra Sikh,North India
3768,Bhatra Sikh,North India
3769,Bhatra Sikh,North India
3770,Bhatra Sikh,North India
3771,Bhatra Sikh,North India
3784,Dorla,North India
3785,Dorla,North India
3786,Dorla,North India
3787,Dorla,North India
3788,Dorla,North India
3789,Dorla,North India
3799,Dorla,North India
3800,Dorla,North India
3801,Dorla,North India
3802,Korku,Central India
3803,Korku,Central India
3804,Korku,Central India
3805,Korku,Central India
3806,Korku,Central India
3807,Korku,Central India
3808,Korku,Central India
3809,Korku,Central India
3810,Korku,Central India
3811,Korku,Central India
3818,Garhwal,North India
3819,Garhwal,North India
3820,Bhumij,East India
3821,Bhumij,East India
3822,Bhumij,East India
3823,Bhumij,East India
3824,Bhumij,East India
3825,Bhumij,East India
3826,Bhumij,East India
3827,Bhumij,East India
3828,Bhumij,East India
3829,Bhumij,East India
3836,Bhumij,East India
3837,Bhumij,East India
3838,Bhumij,East India
3839,Bhumij,East India
3840,Bhumij,East India
3841,Bhumij,East India
3842,Bhumij,East India
3843,Bhumij,East India
9872,Bhojpuri,East India
9873,Bhojpuri,East India
9874,Bhojpuri,East India
9875,Bhojpuri,East India
9876,Bhojpuri,East India
9877,Bhojpuri,East India
9878,Bhojpuri,East India
9879,Bhojpuri,East India
9880,Bhojpuri,East India
9881,Bhojpuri,East India
9882,Bhojpuri,East India
3851,Banjara,West India
9883,Bengal,East India
9884,Bengal,East India
9885,Paroja,North India
9886,Paroja,North India
9887,Paroja,North India
9888,Paroja,North India
9889,Hill Saora,North India
9890,Hill Saora,North India
9891,Hill Saora,North India
9892,Bonda,North India
9893,Bonda,North India
9894,Bonda,North India
9895,Uttar Pradesh,North India
9896,Uttar Pradesh,North India
9897,Benares,North India
9898,Benares,North India
9899,Uttar Pradesh,North India
9900,Benares,North India
9901,Benares,North India
9906,Kullu,North India
9907,Kullu,North India
9908,Kullu,North India
9909,Kullu,North India
9910,Kullu,North India
9911,Kullu,North India
9912,Kullu,North India
9914,Uttar Pradesh,North India
9915,Uttar Pradesh,North India
9916,Uttar Pradesh,North India
9918,Uttar Pradesh,North India
9919,Uttar Pradesh,North India
9920,Uttar Pradesh,North India
3847,Kurukh,North India
3848,Kurukh,North India
3849,Kurukh,North India
9921,Rajasthan,North India
9922,Rajasthan,North India
9923,Rajasthan,North India
9924,Rajasthan,North India
9925,Rajasthan,North India
9902,Burusho,Pakistan
9903,Burusho,Pakistan
9904,Shina,Pakistan
9905,Burusho,Pakistan
