soc_id,lat,lng,Preferred_name,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37
10000,-9.0,161.0,'Are'are,1.0,0.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.5,0.43,1.0,0.0,0.0,0.67,0.33,0.33,0.7,0.0,0.75,1.0,1.0,1.0,0.67,0.25,0.4,1.0,0.4,0.5,0.5,1.0,0.75,0.71,0.5,1.0,1.0,0.75
10027,-1.29,36.82,Abaluhya,0.58,0.12,0.82,0.5,0.5,0.75,1.0,0.5,1.0,0.5,0.86,0.14,0.5,0.86,0.67,0.17,0.67,0.0,0.33,0.5,0.4,0.0,1.0,0.83,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.71,1.0,0.25,0.8,0.75
10033,-5.55,150.14,Abelam,0.58,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,1.0,0.14,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.5,0.6,0.0,1.0,0.0,0.75,0.0,1.0,0.0,1.0,0.5,1.0,0.5,0.43,0.83,0.25,0.8,1.0
10055,43.0,41.02,Abkhazia,0.67,0.25,0.36,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.43,0.14,0.17,0.14,0.67,0.92,0.83,0.9,0.33,0.75,0.4,0.8,1.0,0.67,0.75,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.86,1.0,0.75,0.2,0.25
10077,28.21,95.53,Adi,0.58,0.12,0.36,1.0,0.75,0.75,0.5,0.0,0.75,0.25,0.43,0.14,0.17,0.14,0.67,0.75,0.67,1.0,0.0,0.5,0.6,0.0,0.25,0.33,0.75,1.0,1.0,0.4,0.5,0.25,1.0,0.75,0.43,0.33,0.5,0.6,0.5
10099,2.95,32.93,Acoli,0.92,1.0,0.27,0.5,0.75,1.0,1.0,0.75,1.0,0.75,0.86,0.14,0.5,0.86,0.67,0.75,0.33,1.0,0.0,0.75,0.6,0.0,1.0,0.83,0.5,1.0,1.0,0.8,0.5,0.75,1.0,0.5,0.71,0.5,0.5,0.6,0.75
10137,9.31,42.12,Harari,0.75,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.25,1.0,1.0,0.0,0.0,0.67,0.25,0.33,0.6,0.0,0.5,0.4,0.2,0.5,,1.0,0.0,1.0,0.4,0.0,0.25,0.0,0.5,0.43,0.5,0.5,0.2,0.5
10140,-6.8,146.56,Adzera,0.42,0.25,0.36,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.86,0.14,0.17,0.57,0.67,0.42,0.67,0.6,0.33,0.5,0.2,0.0,1.0,0.33,0.5,1.0,1.0,0.4,1.0,0.75,1.0,0.5,0.71,0.33,0.25,0.2,1.0
10143,11.75,40.95,Afar,0.75,0.25,0.36,0.5,0.75,1.0,0.5,1.0,0.75,0.5,0.43,0.14,0.17,0.14,0.67,0.92,0.83,1.0,0.0,0.5,0.6,0.0,0.75,0.67,0.5,1.0,1.0,0.8,0.5,0.5,0.33,0.75,0.71,0.33,0.5,0.6,0.75
10176,34.01,71.52,Afridi,0.5,0.62,0.45,0.75,0.25,0.25,0.75,0.25,0.5,0.0,1.0,0.43,0.83,0.57,0.0,0.33,0.0,0.9,0.33,0.5,0.4,0.0,0.5,0.17,0.75,0.0,0.4,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.25,0.6,0.25
