,index,canto_coding_id,region,division,subregion,area_kingdom,culture,lat,lng,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37
0,0,458,Africa,Central Africa,Equatorial Central Africa,"Cuvette Dept, C Congo",Kouyou,-0.48,15.89,1.0,1.0,0.92,1.0,0.54,1.0,1.0,0.54,1.0,1.0,0.46,1.0,0.46,0.54,1.0,1.0,1.0,1.0,0.08,0.77,1.0,1.0,0.77,0.69,0.77,1.0,1.0,0.38,1.0,1.0,1.0,0.77,0.88,0.54,0.31,0.77,0.77
1,0,459,Africa,Central Africa,Equatorial Central Africa,"Cuvette Dept, C Congo",Kouyou,-0.48,15.89,0.77,1.0,0.92,1.0,0.77,1.0,1.0,0.77,1.0,0.54,0.46,0.23,0.46,0.85,1.0,0.85,0.77,1.0,0.31,0.77,0.54,0.62,0.77,0.69,0.77,1.0,1.0,0.69,1.0,0.54,1.0,0.77,0.62,0.54,0.31,0.31,0.54
2,0,9228,Africa,Central Africa,Equatorial Central Africa,"Cuvette Dept, C Congo",Kouyou,-0.48,15.89,1.0,0.92,0.85,1.0,0.77,1.0,1.0,0.77,1.0,0.77,0.46,0.85,0.46,0.85,0.69,0.92,1.0,1.0,0.69,0.77,0.77,1.0,1.0,0.85,0.54,1.0,1.0,0.69,1.0,0.77,0.54,0.77,0.81,0.31,0.31,0.77,0.77
3,0,2137,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,-0.74,18.11,0.69,0.08,0.08,1.0,1.0,1.0,0.08,0.08,0.08,0.77,0.69,0.23,0.08,0.08,0.69,0.62,0.77,1.0,0.08,0.77,0.54,0.62,1.0,0.85,0.77,1.0,1.0,1.0,1.0,0.77,1.0,0.54,0.77,0.54,0.77,0.31,0.31
4,0,2138,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,-0.74,18.11,0.85,0.15,0.46,1.0,1.0,1.0,0.54,0.77,1.0,0.77,0.46,0.54,0.46,0.54,0.69,0.77,0.77,1.0,0.31,0.77,0.77,1.0,1.0,0.69,0.54,1.0,1.0,0.69,1.0,0.77,1.0,0.54,0.77,0.77,0.77,0.54,0.77
5,0,2139,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,-0.74,18.11,0.77,0.62,0.46,1.0,1.0,1.0,1.0,0.54,1.0,0.77,0.85,1.0,1.0,0.85,0.69,0.08,0.77,0.08,0.08,0.77,0.77,1.0,0.77,0.85,0.54,1.0,1.0,0.69,0.54,0.77,1.0,0.54,0.77,0.77,0.54,0.31,0.54
6,0,2140,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,-0.74,18.11,0.77,0.23,0.46,1.0,0.77,1.0,1.0,0.77,1.0,0.77,0.46,0.23,0.46,0.85,1.0,0.77,0.77,1.0,0.08,0.54,0.77,0.62,0.77,0.85,0.54,1.0,1.0,1.0,0.54,0.77,1.0,0.54,0.77,0.77,0.77,0.54,0.77
7,0,2141,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,-0.74,18.11,0.15,0.15,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.54,0.85,0.08,0.69,0.08,0.69,0.77,0.54,1.0,0.08,0.54,0.54,0.08,0.31,0.85,0.54,0.69,1.0,1.0,1.0,0.54,0.54,0.54,0.77,0.77,0.54,0.31,0.54
8,0,2142,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,-0.74,18.11,0.92,0.08,0.08,1.0,1.0,1.0,0.08,0.08,0.08,0.77,0.69,0.23,0.08,0.08,0.69,0.77,0.77,1.0,0.08,0.54,0.54,0.62,1.0,1.0,0.54,1.0,1.0,0.69,1.0,0.77,1.0,0.54,0.77,0.77,0.54,0.31,0.54
9,0,2143,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,-0.74,18.11,0.62,0.15,0.46,1.0,1.0,1.0,0.54,1.0,1.0,0.54,0.92,0.23,0.46,0.54,0.69,0.15,1.0,0.08,0.31,0.77,0.77,0.77,1.0,0.85,0.54,1.0,1.0,0.69,1.0,0.54,1.0,0.77,0.77,0.77,0.77,0.31,0.54
10,0,2144,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,-0.71,17.71,0.77,0.15,0.46,1.0,1.0,1.0,1.0,1.0,1.0,0.54,0.85,1.0,0.69,0.85,0.69,0.31,0.54,1.0,0.08,0.54,0.77,0.62,0.77,0.85,0.54,1.0,1.0,0.38,0.54,0.54,1.0,0.54,0.77,0.77,0.54,0.54,0.54
11,0,2145,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,-0.74,18.11,0.85,0.15,0.15,1.0,1.0,1.0,0.31,0.08,0.08,0.54,0.85,0.23,0.46,0.08,0.69,0.35,1.0,1.0,0.31,0.77,0.77,0.77,1.0,0.69,0.31,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.77,0.77,0.77,0.77,0.31
12,0,2146,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,-0.71,17.71,0.77,0.15,0.46,1.0,1.0,1.0,1.0,1.0,1.0,0.77,0.85,1.0,0.46,0.85,0.69,0.77,0.54,0.85,0.08,0.77,0.77,0.62,1.0,0.69,0.54,1.0,1.0,0.69,0.54,0.77,1.0,0.54,0.77,0.77,0.54,0.31,0.54
13,0,327,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Budu,2.72,30.64,0.15,0.15,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.08,0.46,0.08,0.46,0.08,0.69,0.0,0.77,0.73,0.08,0.31,0.77,0.08,1.0,0.69,0.31,1.0,0.69,1.0,1.0,0.08,1.0,0.54,0.62,0.31,0.31,0.77,0.54
14,0,328,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Budu,2.72,30.64,1.0,0.15,0.46,1.0,1.0,1.0,0.54,1.0,0.77,1.0,0.46,1.0,0.23,0.23,0.69,1.0,1.0,1.0,1.0,0.54,1.0,1.0,1.0,0.69,0.31,1.0,1.0,0.69,0.08,1.0,1.0,1.0,1.0,0.77,0.54,0.77,0.77
15,0,231,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mamvu,-4.03,21.75,0.77,0.92,0.85,1.0,0.77,0.77,1.0,1.0,1.0,0.31,0.85,1.0,0.69,0.54,0.69,0.77,1.0,1.0,0.08,0.31,0.77,0.81,1.0,0.69,0.31,1.0,1.0,0.38,0.08,0.31,1.0,0.77,0.77,0.54,0.31,0.77,0.77
16,0,232,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mamvu,0.51,25.19,0.77,0.92,0.85,1.0,0.77,0.77,1.0,1.0,1.0,0.31,0.85,1.0,0.69,0.54,0.69,0.77,1.0,1.0,0.08,0.54,0.77,0.81,1.0,0.69,0.31,1.0,1.0,0.38,0.08,0.31,1.0,0.77,0.77,0.54,0.31,0.77,0.77
17,0,233,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mamvu,0.51,25.19,0.15,0.62,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.08,1.0,0.08,0.69,0.08,0.08,0.31,1.0,1.0,0.85,0.54,0.77,0.08,1.0,0.69,0.31,0.08,1.0,0.69,1.0,0.08,1.0,0.77,0.46,0.31,0.77,0.77,0.54
18,0,234,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mamvu,0.51,25.19,0.85,0.08,0.08,0.54,0.54,0.54,0.08,0.08,0.08,0.31,0.69,0.23,0.08,0.08,1.0,0.77,0.77,0.85,0.08,0.31,0.77,0.08,1.0,0.69,0.31,1.0,1.0,0.38,0.54,0.31,1.0,0.77,0.62,0.54,0.31,0.77,0.77
19,0,235,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mamvu,0.51,25.19,0.69,0.92,0.15,0.54,0.77,1.0,1.0,0.08,0.08,0.54,0.46,0.23,0.69,0.08,1.0,0.77,1.0,1.0,0.08,0.77,0.77,0.08,1.0,0.69,0.54,1.0,1.0,0.38,0.54,0.54,1.0,0.77,0.77,1.0,0.54,0.54,0.77
20,0,2792,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mamvu,-4.03,21.75,0.15,0.62,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.31,0.46,0.08,0.46,0.08,0.08,0.54,1.0,1.0,0.31,0.54,0.77,0.08,1.0,0.85,0.31,0.69,1.0,0.69,0.54,0.31,1.0,0.77,0.77,0.31,0.54,0.54,0.54
21,0,2794,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mamvu,0.51,25.19,0.15,0.62,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.54,0.85,0.08,0.85,0.08,0.85,0.54,0.88,0.08,0.69,0.54,1.0,0.08,1.0,0.69,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.77,0.62,0.31,0.31,0.54,0.77
22,0,2795,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mamvu,0.51,25.19,1.0,0.23,0.46,1.0,0.77,1.0,1.0,1.0,1.0,0.77,0.46,1.0,0.46,0.85,1.0,0.85,1.0,1.0,0.19,1.0,0.77,1.0,1.0,0.85,0.54,1.0,1.0,0.69,0.08,0.77,1.0,0.77,1.0,1.0,1.0,1.0,1.0
23,0,3359,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mayogo,3.58,28.29,0.88,0.15,0.38,1.0,1.0,1.0,1.0,0.77,1.0,0.54,0.46,1.0,0.46,0.69,1.0,0.54,0.77,1.0,0.08,1.0,0.77,1.0,1.0,0.69,0.54,1.0,1.0,0.38,0.54,0.54,1.0,0.77,1.0,0.54,0.54,0.54,0.77
24,0,3360,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mayogo,3.58,28.29,0.77,0.15,0.38,0.54,1.0,0.77,1.0,0.77,1.0,0.54,0.46,1.0,0.46,0.54,1.0,0.62,0.88,1.0,0.08,1.0,0.77,0.08,1.0,0.85,0.54,1.0,1.0,0.38,0.54,0.54,0.54,0.77,0.77,0.77,0.77,0.54,0.77
25,0,3361,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mayogo,3.58,28.29,0.81,0.23,0.46,1.0,1.0,1.0,1.0,0.77,1.0,0.77,0.46,1.0,0.46,0.69,0.69,0.85,0.77,1.0,0.31,0.77,0.77,1.0,1.0,0.69,0.77,1.0,1.0,0.38,1.0,0.77,0.54,0.42,0.77,0.54,0.54,0.31,0.77
26,0,3362,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mayogo,3.58,28.29,0.88,1.0,0.38,1.0,0.77,0.77,1.0,1.0,1.0,1.0,0.46,1.0,0.46,0.69,1.0,0.96,0.77,1.0,0.69,0.77,0.77,1.0,1.0,0.38,0.54,1.0,1.0,0.69,0.54,1.0,0.54,0.42,0.62,0.54,0.54,0.54,1.0
27,0,3363,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mayogo,3.58,28.29,0.62,1.0,0.38,1.0,1.0,0.77,1.0,0.54,1.0,0.54,0.46,0.23,0.46,0.69,0.69,0.92,0.77,0.85,0.31,0.31,0.77,0.23,1.0,0.69,0.54,1.0,1.0,1.0,0.54,0.54,0.54,0.54,0.77,0.31,0.54,0.77,0.77
28,0,3364,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Mayogo,3.58,28.29,0.88,0.23,0.46,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.46,1.0,0.46,0.69,1.0,0.15,0.88,0.08,0.31,1.0,0.77,1.0,1.0,0.85,0.31,1.0,1.0,0.38,0.54,0.54,0.54,0.77,0.77,0.77,0.77,0.54,1.0
