,soc_id,lat,lng,Preferred_name,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37
0,10000,-9.0,161.0,'Are'are,8192,2,2,8192,1024,1024,2,2,2,128,64,8192,2,2,512,32,128,512,2,1024,8192,8192,8192,512,16,512,8192,32,128,128,8192,1024,256,128,8192,8192,1024
1,10027,-1.29,36.82,Abaluhya,256,4,2048,128,128,1024,8192,128,8192,128,2048,8,64,2048,512,8,1024,2,16,128,128,2,8192,2048,128,8192,8192,8192,8192,128,8192,1024,256,8192,16,1024,1024
2,10033,-5.55,150.14,Abelam,256,2,2,128,128,8192,2,2,2,128,8192,8,2,2,512,2,2,2,2,128,1024,2,8192,2,1024,2,8192,2,8192,128,8192,128,64,1024,16,1024,8192
3,10055,43.0,41.02,Abkhazia,512,8,64,8192,8192,8192,128,8192,8192,128,64,8,8,8,512,4096,8192,2048,16,1024,128,1024,8192,512,1024,8192,8192,8192,8192,128,8192,1024,1024,8192,1024,16,16
4,10077,28.21,95.53,Adi,256,4,64,8192,1024,1024,128,2,1024,16,64,8,8,8,512,1024,1024,8192,2,128,1024,2,16,32,1024,8192,8192,32,128,16,8192,1024,64,16,128,128,128
5,10099,2.95,32.93,Acoli,4096,8192,32,128,1024,8192,8192,1024,8192,1024,2048,8,64,2048,512,1024,128,8192,2,1024,1024,2,8192,2048,128,8192,8192,512,128,1024,8192,128,256,128,128,128,1024
6,10137,9.31,42.12,Harari,1024,2,2,8192,8192,8192,2,2,2,16,8192,8192,2,2,512,16,128,256,2,128,128,8,128,NaN,8192,2,8192,32,2,16,2,128,64,128,128,16,128
7,10140,-6.8,146.56,Adzera,64,8,64,128,128,128,128,128,128,1024,2048,8,8,128,512,64,1024,256,16,128,16,2,8192,32,128,8192,8192,32,8192,1024,8192,128,256,16,16,16,8192
8,10143,11.75,40.95,Afar,1024,8,64,128,1024,8192,128,8192,1024,128,64,8,8,8,512,4096,8192,8192,2,128,1024,2,1024,512,128,8192,8192,512,128,128,128,1024,256,16,128,128,1024
9,10176,34.01,71.52,Afridi,128,256,128,1024,16,16,1024,16,128,2,8192,32,2048,128,2,32,2,2048,16,128,128,2,128,8,1024,2,32,2,128,2,8192,2,2,2,16,128,16
10,10209,44.08,144.02,Sakhalin Ainu,8192,2,2,8192,128,8192,2,2,2,1024,64,8192,2,2,512,8192,8192,8192,8192,16,128,8192,8192,32,16,8192,8192,8192,128,1024,2,1024,8,16,128,1024,1024
11,10220,-3.15,142.36,Aitape,4,2,2,16,2,2,2,2,2,128,2048,2,2,2,512,2048,1024,2048,2,16,1024,2,128,8,16,32,8192,512,128,128,8192,1024,256,128,128,8192,8192
12,10231,-20.68,164.94,Ajie,8192,2,8192,8192,1024,8192,8192,2,2,1024,64,8192,64,2,512,2048,8192,8192,8192,8192,128,2,8192,2048,1024,512,2,8192,8192,1024,8192,128,256,128,128,128,8192
13,10247,7.0,43.0,Ajuran,4096,256,64,1024,128,128,128,8192,16,8192,64,2048,8,8,512,2048,8192,8192,2,16,128,64,8192,2048,1024,8192,8192,512,128,8192,128,128,256,128,16,16,16
14,10264,-49.13,-74.45,Kawésqar,64,2,2,128,16,16,2,2,2,1024,2048,8,2,2,2,2048,16,2048,2,2,2,2,8192,32,16,32,8192,8192,8192,1024,8192,1024,64,128,16,8192,128
15,10286,71.38,-156.48,Yu'pik,4,4,4,128,128,128,16,2,2,1024,2048,8,8,2,512,16,1024,2,16,1024,1024,2,1024,32,1024,8192,8192,512,8192,1024,128,128,64,16,16,16,128
16,10297,41.87,19.59,Ghegs,4,2,2,16,2,2,2,2,2,128,2048,2,2,2,512,2048,128,8192,16,128,128,2,128,32,128,32,8192,512,128,128,128,128,64,128,1024,1024,128
17,10374,46.62,8.04,Alpine Swiss,8192,2,2,8192,8192,8192,2,2,2,8192,64,8,2,2,512,64,16,8192,512,1024,128,8192,8192,8,16,32,8192,2,128,8192,8192,128,8192,8192,8192,1024,128
18,10396,3.03,29.54,Alur,4,256,4096,16,2,2,8192,8192,8192,2,2048,2,64,2048,8192,1024,8192,8192,2,16,128,2,8192,32,16,512,8192,32,8192,2,8192,128,256,128,128,1024,128
19,10407,-9.82,-73.08,Amahuaca,256,2,2,8192,128,16,2,2,2,1024,2048,32,2,2,512,2048,1024,8192,2,16,16,8192,8192,512,128,512,8192,32,2,1024,128,128,256,16,16,16,1024
20,10418,27.7,128.82,Amami,4,4,4,16,2,2,8192,2,2,2,64,2,64,2,512,2,128,2,2,1024,16,2,128,32,128,8192,8192,32,2,2,128,128,2,2,128,128,1024
21,10442,6.73,38.4,Koorete,1024,2,2,8192,16,1024,128,8192,1024,8192,8192,8,8,8,512,2048,1024,2048,2,1024,16,8,1024,2048,128,8192,8192,8192,8192,8192,2,8192,64,2,2,128,8192
22,10445,-13.2,49.05,Antankarana,4096,8,64,8192,1024,8192,128,1024,1024,1024,64,8192,64,8,2,256,128,8192,16,128,128,8192,8192,2048,1024,8192,8192,512,128,1024,8192,1024,64,16,16,1024,1024
23,10495,14.03,38.31,Amhara,256,8,32,16,2,2,8192,128,1024,128,64,2,64,128,512,256,1024,2,16,128,16,2,128,512,1024,8192,8192,512,128,128,128,128,8,16,128,128,16
