,song_id,Preferred_name,society_id,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37,lat,lng
0,9184,'Are'are,10000,0.08,0.0,0.46,0.0,0.0,0.0,1.0,0.77,0.77,0.0,0.0,0.0,0.46,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,161.0
1,30121,'Are'are,10000,0.38,0.08,0.08,1.0,0.77,0.77,0.08,0.08,0.08,0.54,0.46,0.23,0.08,0.08,0.69,0.46,0.54,0.69,0.08,0.77,1.0,0.62,1.0,0.38,0.08,1.0,1.0,0.38,0.54,0.54,1.0,0.54,0.62,0.77,1.0,1.0,0.77,-9.0,161.0
2,4241,'Are'are,10000,0.46,0.08,0.08,1.0,0.77,0.77,0.08,0.08,0.08,0.31,0.85,1.0,0.08,0.08,0.69,0.46,0.77,0.69,0.69,0.77,0.77,0.77,1.0,0.69,0.08,0.69,1.0,0.69,0.54,0.31,1.0,0.77,0.77,0.31,0.54,0.77,0.54,-9.0,161.0
3,4246,'Are'are,10000,0.46,0.92,1.0,0.54,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.23,0.69,1.0,0.69,0.92,0.54,1.0,0.31,0.54,1.0,0.08,1.0,0.38,0.31,0.69,0.69,1.0,0.08,1.0,0.54,0.77,1.0,0.31,0.77,0.77,1.0,-9.0,161.0
4,30124,'Are'are,10000,1.0,0.38,0.46,1.0,0.54,0.77,0.54,1.0,1.0,0.54,0.46,1.0,0.46,0.54,0.38,0.38,0.54,0.69,0.08,1.0,1.0,1.0,0.77,0.85,0.77,0.69,1.0,0.38,0.54,0.54,0.54,0.77,1.0,0.54,1.0,1.0,1.0,-9.0,161.0
5,30125,'Are'are,10000,1.0,0.38,0.46,1.0,0.54,0.77,0.54,1.0,1.0,0.54,0.46,1.0,0.46,0.54,0.38,0.38,0.77,0.23,0.08,0.77,1.0,1.0,0.77,0.85,0.77,0.69,1.0,0.38,0.54,0.54,1.0,0.77,0.62,0.54,1.0,1.0,1.0,-9.0,161.0
6,30075,'Are'are,10000,1.0,0.08,0.08,1.0,1.0,0.77,0.08,0.08,0.08,0.77,0.46,1.0,0.08,0.08,0.69,1.0,0.77,0.85,0.69,0.54,1.0,1.0,1.0,0.69,0.08,1.0,1.0,0.69,0.08,0.77,1.0,0.54,0.77,1.0,1.0,1.0,1.0,-9.0,161.0
7,30120,'Are'are,10000,1.0,0.08,0.08,1.0,0.77,0.77,0.08,0.08,0.08,0.54,0.46,1.0,0.08,0.08,0.69,0.85,0.54,1.0,0.08,0.54,0.77,1.0,1.0,0.69,0.08,1.0,1.0,0.38,0.08,0.54,1.0,0.54,0.62,0.77,1.0,1.0,0.77,-9.0,161.0
8,30122,'Are'are,10000,1.0,0.08,0.08,1.0,0.77,0.54,0.08,0.08,0.08,0.31,0.85,1.0,0.08,0.08,0.38,0.38,0.54,0.23,0.08,0.77,1.0,1.0,1.0,0.38,0.31,0.38,1.0,0.38,0.08,0.31,1.0,0.77,0.62,0.77,1.0,1.0,0.77,-9.0,161.0
9,30123,'Are'are,10000,1.0,0.08,0.08,1.0,0.77,0.54,0.08,0.08,0.08,0.31,0.85,1.0,0.08,0.08,0.38,0.38,0.54,0.69,0.31,0.77,1.0,1.0,1.0,0.38,0.31,0.38,1.0,0.38,0.08,0.31,1.0,0.77,0.62,0.77,1.0,1.0,0.77,-9.0,161.0
